id,hhb,hbo2,ca,na
10000,8.459204,4.4309464,9.581854,2.1988246
10001,4.7865105,3.500412,7.574019,3.0581965
10002,8.994317,4.260349,9.96502,3.8086684
10003,5.7517066,3.6003447,7.545066,4.3486204
10004,6.1511045,4.0860815,8.947012,2.7992098
10005,11.927496,4.373509,9.456991,3.074333
10006,7.93551,4.1845274,8.402445,3.0771978
10007,6.9492183,3.830456,10.272621,2.8009996
10008,7.099057,3.9867952,6.3678756,2.7091038
10009,9.159301,3.787561,8.487042,2.579765
10010,11.405312,5.1707935,10.816645,3.7804673
10011,11.619754,4.388923,10.596628,3.2526224
10012,8.853714,3.6568723,7.9055295,2.3358183
10013,7.208683,4.2046785,8.373657,3.0882912
10014,12.168474,5.0261,11.085648,3.142231
10015,8.179798,4.023711,10.110817,2.7508426
10016,9.67384,4.415494,10.854174,3.776281
10017,9.616126,4.230147,9.483156,3.2196891
10018,3.8400354,2.9336903,7.3433604,4.1236053
10019,12.352973,4.4956093,10.427114,3.380789
10020,8.598111,4.0479975,9.529636,2.9136162
10021,12.5427065,4.9356956,7.5399923,4.058227
10022,5.2390685,4.278142,8.56597,2.1119342
10023,3.4913406,3.4967625,8.625549,2.0054743
10024,3.0214362,3.1722956,9.783593,2.26512
10025,13.426237,4.730386,10.235652,3.4276798
10026,12.662866,5.046741,10.307614,3.3450863
10027,11.324696,4.3833756,9.606807,3.4066484
10028,4.3358984,2.6762605,7.7929387,3.374183
10029,10.929711,3.9252033,8.649041,4.1324587
10030,4.9988832,4.0855703,9.692841,3.5895932
10031,0.8432884,3.008097,11.101315,2.3786426
10032,9.826011,4.4689617,10.582035,2.9858608
10033,9.912336,4.6036277,9.378257,2.9263146
10034,3.4794376,4.3986263,10.244366,3.0234559
10035,10.58827,4.980397,10.693975,3.1804805
10036,11.152448,4.2562647,8.718796,3.2770357
10037,5.5272064,3.627285,8.73214,1.6476061
10038,12.576874,4.769734,9.573098,3.1765816
10039,4.2293453,4.0342913,8.493357,0.8634529
10040,9.844876,4.3410387,9.49229,3.1429498
10041,5.5232916,4.0389404,9.056216,3.1411026
10042,7.64299,4.007274,8.140444,3.502839
10043,11.566402,4.092181,9.660416,3.1159532
10044,12.115911,4.912788,11.316907,2.30448
10045,3.3057027,2.9341588,9.487634,2.130044
10046,3.0008664,2.7695467,6.2073107,3.0837698
10047,9.804112,3.9784174,9.489602,1.9736061
10048,15.255116,4.5434737,10.970235,3.0551171
10049,11.425369,4.4624662,10.728116,3.3477733
10050,10.93537,3.9326503,8.628909,3.7845724
10051,9.783135,4.1711664,10.152267,2.8586898
10052,6.8175426,3.297726,9.9348135,4.911446
10053,12.4661455,3.866092,9.568699,3.544621
10054,3.8568108,2.6814601,6.7989016,1.3746221
10055,7.517414,3.4736116,8.500755,3.6821525
10056,2.6374235,3.6444175,6.0121446,2.2090073
10057,7.1163287,4.0242686,7.966272,2.9178288
10058,5.8148,3.2822495,11.2626295,2.0315156
10059,6.4682097,4.3700714,9.76556,3.4521093
10060,10.151437,3.893046,8.595932,4.1181445
10061,6.766384,3.1781466,7.621684,4.2015724
10062,2.1739392,2.9902053,5.2280207,2.3607817
10063,3.6911917,3.2718422,8.881556,3.56717
10064,3.8805516,3.8518026,8.7717285,3.2603157
10065,14.706635,4.7438684,11.055125,3.7060728
10066,3.938534,3.5581732,9.615304,2.7833493
10067,13.284067,4.0122147,9.096294,3.5978642
10068,3.226067,4.0006924,9.837284,2.678214
10069,6.7046986,3.4807699,9.513479,1.7929131
10070,3.2785215,2.5622005,6.426775,3.012973
10071,11.199851,4.862406,7.6635227,4.255225
10072,11.192972,5.3816867,11.036359,3.0729125
10073,5.22172,3.4295948,6.1418147,2.5240254
10074,6.5109234,3.8108997,10.3738575,3.262916
10075,12.325645,5.082574,10.100043,3.3187623
10076,13.5184355,4.5069523,10.701666,3.0830154
10077,8.764557,4.928578,10.458621,2.7651274
10078,12.272797,5.097448,10.917349,2.06669
10079,10.240448,4.860957,10.633901,3.4925504
10080,2.8251047,3.455679,7.7658534,3.0698059
10081,4.1294622,3.3392348,7.6183043,1.6421875
10082,8.989081,4.010183,8.454238,2.82289
10083,5.346902,4.362971,10.005543,3.2444077
10084,7.470304,3.9698799,8.239227,4.193387
10085,10.480304,4.1674495,10.08773,3.9361665
10086,11.394518,3.890846,8.220903,3.5746076
