id,hhb,hbo2,ca,na
10000,9.251555,4.2189045,8.548567,5.121639
10001,7.0509377,3.0864475,6.54276,2.306307
10002,10.348912,4.3618765,10.945228,3.7982795
10003,8.375679,3.9850574,10.780155,4.4531403
10004,5.056794,3.6223388,8.221061,3.3168757
10005,8.21324,4.255476,8.802639,3.0087588
10006,7.4944797,2.4711552,8.8899,2.0802827
10007,8.950137,4.500752,10.695237,3.5964255
10008,6.3948164,4.719407,8.897833,2.993396
10009,9.492066,3.8425434,7.654125,2.5974429
10010,8.4972515,3.7311573,9.979953,4.759553
10011,9.11539,3.171282,5.4513702,4.0020676
10012,9.470423,3.792123,7.41807,2.8043995
10013,7.1747475,4.2695136,8.930744,3.652295
10014,10.714423,3.5986547,6.7964544,2.1607218
10015,4.8221436,3.8044655,6.6331086,4.2417946
10016,10.111898,3.5504763,9.685227,4.421189
10017,8.407907,3.5606275,9.50557,2.296962
10018,9.572298,4.9719915,9.458263,1.9830102
10019,7.2114377,3.4878392,7.493198,2.0056214
10020,8.838811,3.0862632,9.604161,3.2469509
10021,10.425426,4.4835205,9.501638,2.6512828
10022,12.416445,4.573143,11.763292,3.4271302
10023,7.9039907,3.842167,9.109722,2.5754607
10024,6.6201687,4.669209,9.8232765,3.9360077
10025,10.539123,3.6022043,9.130857,3.3935423
10026,9.923528,3.2911105,6.852968,2.642963
10027,13.603725,4.7773533,10.880286,3.1431203
10028,2.6438022,3.3226254,6.4783363,3.6359432
10029,7.842452,3.6654298,9.197243,3.6715283
10030,2.7668407,3.8400965,8.227146,2.6935616
10031,7.3809195,4.0638666,7.5110655,2.3599067
10032,15.039625,4.2993956,10.820144,3.6196866
10033,9.191575,3.902045,7.892727,3.8963234
10034,9.769226,3.87756,9.3081875,4.176564
10035,6.4730153,3.0871482,7.589182,3.30195
10036,7.5344768,4.2279854,8.047572,3.789527
10037,6.2131267,3.731491,7.447497,2.7689955
10038,10.256271,4.290617,8.818046,3.7691057
10039,8.2925825,2.8918288,7.9875593,2.7092922
10040,4.074129,4.503428,10.713786,3.2403097
