id,hhb,hbo2,ca,na
10000,9.288971,4.333049,7.9216175,3.947852
10001,7.1082673,3.1489964,7.6402364,2.139862
10002,9.397609,4.4442434,10.492663,3.8551211
10003,8.357715,4.1050296,10.539337,4.0457764
10004,6.4955997,3.8616645,8.095551,3.2847002
10005,7.3497624,4.491894,9.877662,2.9830058
10006,7.6341825,3.2241907,9.685978,2.4976933
10007,8.59959,4.5180516,10.7654915,3.5735734
10008,6.1889486,4.7825813,8.515394,3.526434
10009,9.671997,3.752692,7.0869837,2.5910122
10010,9.201592,3.8688095,11.1824665,4.8995566
10011,8.489267,3.1840072,5.6641273,4.535411
10012,10.009929,3.6083848,8.409082,2.7671642
10013,7.415411,4.0388794,9.409226,3.1406937
10014,10.741418,3.3979943,7.759315,2.2997665
10015,4.774991,3.814216,7.1702437,4.0706387
10016,10.077812,3.4626656,8.496244,4.665568
10017,8.971722,3.945604,8.808393,2.6452374
10018,10.037631,4.6538563,9.898517,2.420928
10019,7.2619314,3.4215105,7.846722,2.057033
10020,8.355009,3.4209511,10.00556,3.5770955
10021,9.960732,4.655441,9.767039,3.1004715
10022,12.948561,4.571189,12.020724,3.295439
10023,7.5898433,3.895959,9.046516,2.7174761
10024,6.5108643,4.681281,10.879251,3.2376754
10025,10.730417,3.8249643,8.57431,3.2898004
10026,9.990142,3.2246904,6.9640164,2.8431451
10027,13.808528,4.988075,11.6961355,4.1029577
10028,2.5460238,3.5585935,8.279193,3.5932436
10029,7.2990127,3.7238886,8.57179,3.1282723
10030,2.7027807,3.8510523,8.308386,2.842718
10031,7.1385098,4.297739,6.9752975,2.2830842
10032,14.314345,4.35735,10.252796,3.1569824
10033,9.796177,3.872538,7.816347,3.7916005
10034,9.779463,4.149149,8.962167,4.243314
10035,6.806969,3.0159223,7.7678027,2.6865783
10036,6.786601,4.0476584,10.022546,3.5086744
10037,6.298646,3.7065735,8.049379,2.9970639
10038,10.478967,4.1029816,8.503178,3.5595493
10039,8.554544,3.3712857,7.2828894,2.7802196
10040,4.1826005,4.247362,10.507413,3.1807659
10041,7.678834,4.060488,9.208078,4.093279
10042,6.710694,4.4681473,10.794447,2.9682841
10043,10.8016815,3.38901,9.057772,3.3273327
10044,6.4739413,4.453582,10.546625,2.8754833
10045,8.187823,4.1138744,10.073659,2.7090747
10046,6.608729,4.1643105,11.017358,2.751381
10047,7.084522,4.3676653,10.342524,4.1531897
10048,7.0657415,4.093622,8.677306,2.5227773
10049,6.952372,4.9815474,9.182997,1.6059391
10050,6.544691,4.5580945,9.428456,1.6260532
10051,9.039908,4.388203,10.12514,2.9667354
10052,10.686335,4.4659843,8.363984,3.8133597
10053,5.2442675,4.15464,8.966209,2.5137484
10054,6.428547,4.1307144,9.253548,2.458245
10055,6.912607,3.4836,9.650249,4.7253065
10056,12.217985,4.4609594,10.03751,3.5579665
10057,7.8907747,4.0243626,9.505514,3.3774004
10058,11.15876,4.10896,6.912314,2.9803867
10059,7.368515,3.6969218,8.8815,4.6442494
10060,11.652525,3.4217134,7.482805,3.2523117
10061,3.2305992,4.0014305,10.178222,1.703716
10062,4.4739776,3.0845368,6.7698264,4.079072
10063,11.693096,4.351324,9.817846,4.1271687
10064,7.670463,3.856121,9.163742,4.1973877
10065,8.759583,3.8042037,6.723908,2.5991993
10066,8.448595,4.201769,7.9990273,3.1107485
10067,7.0814357,3.5839376,5.905036,2.9334052
10068,8.115849,4.6531286,10.500422,3.7314742
10069,10.400605,4.767078,11.423034,2.922569
10070,7.597325,4.4421554,9.828935,3.502649
10071,0.1864022,2.9832356,8.121471,3.3664217
10072,6.6145415,4.512622,11.284868,3.4421008
10073,7.9815426,3.799212,10.856793,3.6716902
10074,6.8750887,3.5947807,6.8618255,3.2689643
10075,8.413539,4.5814013,10.959418,1.4831184
10076,7.2578945,4.759997,10.530497,2.4153943
10077,8.1940365,4.3056674,9.865597,1.8932
10078,11.023341,4.243432,10.158728,3.1928499
10079,7.675697,3.9015322,7.9193835,2.7729115
10080,7.410841,3.8955994,8.672196,3.8326945
10081,7.0337415,3.8254247,7.4794946,2.9676898
10082,11.901358,4.453411,12.437788,2.9077024
10083,6.0439615,4.316041,8.967668,1.3730938
10084,5.8614697,4.034998,8.128439,4.036363
10085,10.822137,3.842391,6.041162,4.35434
10086,11.653064,3.6211119,8.864444,2.2956197
10087,9.22181,4.450555,9.977326,3.897085
10088,5.9566374,3.3699424,7.180365,3.7222817
10089,10.712931,4.882065,9.343926,2.4006348
10090,9.662303,3.883878,7.971327,2.4316866
10091,2.8454711,3.2757673,7.266803,2.1066036
10092,3.8835478,4.4098063,10.441995,0.80624795
10093,5.8221526,3.4965243,8.988399,0.7910876
10094,8.506454,3.1937222,6.494401,2.9619024
10095,2.9189465,3.3833423,7.446716,1.8921384
10096,0.4824913,3.1319678,8.874318,1.7052556
10097,7.2548103,4.5904255,10.189883,3.6763334
10098,11.476121,3.8551059,9.993477,3.0898845
10099,9.926304,3.8075294,9.149016,2.4795406
10100,7.7218957,3.9100583,7.877105,2.9130952
10101,4.903307,4.365942,9.571607,1.7698038
10102,0.7544786,3.3690436,8.498812,2.1093764
10103,7.342686,3.8853085,9.013598,2.4337983
10104,4.044257,3.8225682,7.5380173,1.015393
10105,10.315115,3.7529297,10.896627,2.544423
10106,11.161283,3.6674094,10.1865015,3.454869
10107,8.052037,3.5635817,10.4813595,2.4634907
10108,8.554893,3.502995,5.7009344,3.269695
10109,8.633943,4.287161,10.468863,3.716208
10110,7.9163017,4.883213,12.122134,1.7714674
10111,9.64688,4.5049667,10.587406,3.0298529
10112,9.726728,3.6499434,8.227769,3.6860564
10113,10.1884,4.548888,10.752815,3.4206438
10114,7.576699,4.0919166,8.12944,1.9330139
10115,7.3756204,3.386421,6.6982446,2.1072388
10116,9.706146,3.738546,8.233496,3.2477643
10117,7.369246,4.5106425,10.388976,3.154971
10118,9.511647,3.876031,8.366366,3.4359272
10119,12.424763,4.4838314,9.483899,3.06634
10120,6.114505,4.177676,10.968163,3.829083
10121,7.0589523,3.338326,9.41853,3.5237713
10122,7.600376,4.6320434,10.9991,2.8166947
10123,1.5801673,3.2646327,7.6771717,1.305464
10124,8.253158,3.0720222,8.386568,2.4639773
10125,4.8382,4.082642,7.2478027,4.183785
10126,5.514972,3.2869725,7.2614603,2.585428
10127,4.54864,4.001,9.018253,4.160455
10128,8.337046,4.4245186,11.436412,3.2960072
10129,8.688814,4.2672234,8.933335,2.7472436
10130,5.39093,3.735682,8.360088,3.7429125
10131,5.6059213,4.7124667,11.227571,2.461418
10132,5.47097,3.1606572,8.744472,2.1195679
10133,8.6541195,5.107927,12.268563,3.3173246
10134,8.947986,3.4121833,7.152787,3.6011803
10135,9.119892,3.6405396,7.3527284,3.3763087
10136,10.678302,5.5002155,9.538769,2.9402812
10137,6.5254436,3.9080436,9.539528,2.2944064
10138,6.852581,4.073777,9.686928,2.2293797
10139,10.364565,3.7609267,9.739742,1.1379473
10140,6.428568,3.9508312,9.31769,2.4485466
10141,4.943288,3.448057,6.480759,3.5120726
10142,7.9257784,3.4288197,7.347967,3.083084
10143,4.1841254,3.4849262,8.0557575,2.2768915
10144,6.0400534,4.40421,9.731326,2.8899534
10145,9.913572,3.744093,8.74002,2.9697645
10146,8.507426,3.291169,8.126373,5.0413094
10147,8.6506,3.1138258,5.4216127,2.69731
10148,6.3370023,4.374976,7.2427297,4.4313
10149,9.558202,3.2246869,6.44163,2.8257563
10150,7.057212,3.8309152,9.698696,1.968034
10151,6.817226,3.4611387,10.289794,1.8438084
10152,7.1454716,3.1304994,6.46112,2.6689546
10153,12.685553,4.084322,9.36853,3.2834108
10154,12.396033,3.9082859,8.283472,2.9821377
10155,3.782588,4.009386,7.2600074,2.2860045
10156,8.297258,4.6879005,11.057289,3.3688822
10157,6.3605647,3.571457,9.2059,3.4736238
10158,7.0992603,3.596812,8.211282,4.4601536
10159,14.132828,4.765981,9.544481,2.1183238
10160,6.438527,3.672868,7.8945,3.5668302
10161,4.7957234,3.5983677,7.9296107,3.7370327
10162,10.124805,4.5185604,10.875746,3.6135283
10163,6.92459,3.633398,9.57687,3.8074625
10164,8.423994,4.4410067,10.6389675,3.261453
10165,6.4506464,3.755594,8.866822,4.463295
10166,7.6978803,4.0558224,6.9571924,3.2890303
10167,8.576219,4.7072377,10.422289,3.5528696
10168,9.549052,4.6689563,10.5416,2.5381944
10169,8.44997,3.5648413,9.234832,2.2025266
10170,4.1965,3.5719461,7.92816,2.7662592
10171,8.916958,3.9716258,8.456572,3.1229641
10172,6.3194857,3.6794448,8.831464,2.426183
10173,4.8092003,3.469517,9.460609,1.7899233
10174,10.4916525,4.277217,9.674061,3.2235453
10175,5.1076636,4.066266,8.579181,2.0867746
10176,5.567856,4.292291,7.830963,2.569596
10177,6.7115674,3.4693124,7.23411,2.9773858
10178,10.512653,4.31436,9.49014,2.9051058
10179,6.6992435,3.5309372,8.801307,4.0436263
10180,3.4384964,3.7626557,8.832674,3.5530918
10181,6.243226,4.228756,7.6715183,3.3214529
10182,7.0961366,4.069042,9.836483,2.5575254
10183,6.4673243,3.6356316,7.16715,2.8386364
10184,12.38395,4.4942245,9.669601,2.2792256
10185,8.425346,3.940108,8.518777,2.9918654
10186,9.051829,4.2159276,10.11248,3.0720623
10187,7.780331,4.1155186,9.2955885,2.7923036
10188,7.082066,3.6960292,9.829588,1.7902732
10189,6.6558175,2.8621924,7.2188396,2.4209657
10190,13.554669,4.7366495,9.961066,3.8264334
10191,8.707442,4.2950354,7.7635655,3.5771308
10192,6.5862894,3.5880892,9.168882,2.6530924
10193,13.61899,4.266769,9.134046,3.8487236
10194,9.351008,3.5046034,7.0616894,3.1135254
10195,8.899116,3.9231293,9.04918,0.47707304
10196,8.871836,3.9182196,7.2408094,3.1901822
10197,12.635287,4.6084495,8.6955805,3.9118662
10198,4.1871343,3.299882,7.788338,2.0284767
10199,7.7425127,3.1330476,7.995868,1.072889
10200,4.6210003,3.7816932,10.136615,1.7934246
10201,7.8914886,3.9196377,7.545906,2.7246654
10202,8.068831,4.5697055,9.142074,2.8596444
10203,8.230373,3.4469163,7.8856325,3.4375358
10204,10.227443,4.56385,7.8756523,4.0868635
10205,11.286117,3.772498,10.634873,2.7300282
10206,7.1057525,4.1987953,6.1489577,3.2325072
10207,9.521019,3.6799433,10.138342,2.1427467
