id,hhb,hbo2,ca,na
10000,8.011511,3.9454927,8.913646,2.9070392
10001,8.031633,3.9876478,8.918821,2.8786464
10002,10.046907,4.1862535,9.43985,3.4965138
10003,9.047232,4.0435367,8.905154,3.3503344
10004,7.689691,4.0729275,9.212124,2.8574848
10005,7.612514,3.878066,8.306075,2.8440466
10006,7.7092643,4.0443106,9.0635605,2.8628252
10007,7.925156,3.9785266,9.037636,2.8761065
10008,7.9609985,3.9603477,9.009771,2.937245
10009,7.8687105,3.942254,8.825587,2.8122776
10010,8.736958,4.0504417,10.383807,3.951909
10011,8.211006,3.3655765,3.9637465,2.5844543
10012,8.463854,4.0291624,8.407787,3.0400822
10013,7.8896565,3.9506345,8.978603,2.9469454
10014,8.691677,4.115197,7.0400844,2.6228611
10015,7.945832,3.95294,8.745374,2.9725752
10016,8.427698,3.8672945,7.850081,3.5889778
10017,8.534281,3.6270585,8.287045,1.7196527
10018,7.8092957,3.9177513,8.614229,2.8684788
10019,7.773312,3.9926827,8.91829,2.8595936
10020,7.902627,3.9565716,8.933303,2.925148
10021,10.442047,3.9759412,10.150881,1.7409842
10022,8.247753,3.9301214,8.858998,2.9506083
10023,8.013594,3.9292245,8.906626,2.8507679
10024,7.91754,3.958519,8.906306,2.8430672
10025,7.940046,3.9411635,8.895794,2.8410847
10026,9.608974,3.8833065,7.6045833,1.0494118
10027,7.629667,4.050625,9.060535,2.8466675
10028,7.779317,3.9659886,8.7376995,2.743717
10029,8.697798,3.6713023,6.5144057,2.4987555
10030,7.8611293,4.0059824,9.124323,3.0586104
10031,7.8423405,3.9790354,9.079746,3.0213485
10032,7.970992,3.968112,8.982957,2.914347
10033,7.8403163,4.048472,9.258791,2.6745725
10034,8.928909,4.590084,11.764744,1.6766725
10035,8.0422325,3.9394145,8.819741,2.892888
10036,7.795705,4.1122866,9.20597,2.7618213
10037,7.9933085,3.9850786,8.979159,2.8402686
10038,7.858906,3.9372575,8.875544,2.9310083
10039,7.9740224,3.990364,9.178361,2.9693167
10040,7.8304296,3.9645655,9.031991,2.9799888
10041,8.433958,3.9274726,8.837923,2.9183846
10042,7.6568794,4.0468693,9.166322,2.8670642
10043,10.0763645,3.8488932,8.328094,2.7066345
10044,7.972592,3.9157004,8.856821,2.8979006
10045,7.676276,4.062361,8.912522,2.8481345
10046,7.8937163,3.9081469,8.7284355,2.878409
10047,6.649172,3.9292626,8.42936,3.8828
10048,6.5239444,3.7909896,7.755067,3.2487535
10049,7.019478,3.9897537,8.826263,2.0637836
10050,8.0867405,4.02996,8.945697,2.8233163
10051,7.948625,3.9356472,8.909298,2.9004662
10052,7.918732,3.9411287,8.896509,2.8732076
10053,8.221716,4.044049,9.17335,2.9049997
10054,7.9697156,3.959517,8.99554,2.9092586
10055,6.4850507,3.662811,9.045985,4.0214715
10056,7.627582,3.9979992,9.260123,2.8836493
10057,8.213316,3.9348602,8.884446,2.9562178
10058,7.738898,4.032565,8.983984,2.8885808
10059,7.424002,3.842266,8.327805,4.3887243
10060,8.227482,4.0437207,9.550542,3.116518
10061,4.1443453,3.9050474,8.898671,1.084274
10062,8.002373,3.9728565,8.856325,2.7067847
10063,7.815784,3.9515371,8.806606,2.8016913
10064,7.8367553,3.9563239,8.831236,2.8900805
10065,7.931043,3.9550893,9.292134,2.4116666
10066,7.954705,3.9883327,8.967938,2.7961423
10067,7.990725,3.9615297,9.023511,2.933399
10068,7.7102456,4.084438,9.219092,2.8683088
10069,7.843971,3.9552372,8.614232,2.8758354
10070,7.940049,3.9997473,9.14424,2.9552543
10071,7.9191976,3.9161227,8.830788,2.8760514
10072,7.6809335,4.085724,9.099934,2.8614278
10073,8.037878,4.0018516,9.018194,2.762802
10074,7.915334,3.9582784,8.961353,2.972225
10075,8.159092,4.4543047,10.992209,1.1845295
10076,7.9407425,3.5652626,8.4386215,1.6233718
10077,7.7542205,3.9614272,8.982514,2.8654258
10078,7.708573,4.058655,9.094694,2.8467069
10079,8.421894,3.970091,8.94793,2.9525821
10080,7.942058,3.9288888,8.892186,2.9134371
10081,7.7418175,4.0021353,8.966821,2.869455
10082,7.9803634,3.9150827,8.850608,2.8404813
10083,7.952622,3.9927273,9.032933,2.9093628
10084,7.8031135,3.9967864,8.988114,2.8982625
10085,8.299118,4.0072346,9.033774,2.9185662
10086,7.8198094,3.99535,8.88009,2.845569
10087,8.461473,4.007778,8.734513,2.844984
10088,7.703372,3.9847283,8.8179245,2.7859514
10089,7.673384,3.4461675,5.9159827,2.7129445
10090,7.846764,3.01412,7.4116797,1.6991298
10091,3.7081914,3.3538456,7.41746,1.2520139
10092,4.325114,3.5655842,9.922713,0.42599273
10093,5.44508,3.3115284,8.629134,1.0700878
10094,7.6824327,3.8010035,7.9268255,0.41730785
10095,7.5829406,3.995256,8.659981,2.5801926
10096,7.9290953,3.914323,8.432941,2.8299022
10097,7.8713136,3.942161,8.903383,2.9382443
10098,7.9602,3.9436598,8.892349,2.8491237
10099,7.82445,3.9662702,8.881702,2.8586197
10100,6.9019666,3.8277833,8.610567,2.4342327
10101,6.7277045,3.654539,7.7599964,2.7091045
10102,2.0304623,3.0886464,6.0509005,2.9016204
10103,7.232176,3.997988,8.978435,2.9587862
10104,3.5107412,3.4507315,8.673756,0.3177176
10105,10.163757,3.7917778,7.5602984,1.7934482
10106,10.204622,4.175124,9.907602,3.8804572
10107,7.7684927,3.9797153,9.291063,3.015336
10108,7.785071,3.76648,7.0043693,1.4656305
10109,7.974565,4.0414686,9.163826,2.8001053
10110,8.043789,4.2458477,11.121086,1.375313
10111,7.8171964,4.002567,8.92315,2.8544705
10112,8.033461,4.0100374,9.056861,2.8553197
10113,8.195466,3.9367027,8.817942,2.8501523
10114,8.133307,3.9942093,8.423958,2.9480286
10115,8.354149,4.0531898,8.2985325,2.74642
10116,8.5458145,3.7302544,6.696584,3.1527903
10117,8.287279,4.046043,9.322359,2.9742472
10118,8.185521,4.007018,8.774638,2.8809404
10119,8.21879,4.094733,10.387381,3.4059198
10120,5.703049,4.0026746,10.49162,3.1797838
10121,7.0919757,3.97845,9.154491,3.0303173
10122,7.253919,3.9008574,7.5913463,2.6503894
10123,2.8336396,3.808864,7.5440583,0.71401674
10124,9.0932865,4.294946,10.820563,3.1308007
10125,8.60729,4.1968784,9.991867,2.9430294
10126,8.160736,4.0163703,8.814704,2.924664
10127,7.842482,3.9597435,8.957307,2.9327834
10128,7.8077245,4.009424,9.152804,2.8459356
10129,8.387194,4.1082973,9.402831,2.8236017
