id,hhb,hbo2,ca,na
10000,8.454714,3.643262,10.095089,3.5353408
10001,5.0529017,3.8655717,7.2382975,2.555441
10002,10.746159,4.9257293,9.538156,3.9337354
10003,8.143164,4.269436,10.01227,3.5352643
10004,7.2746034,3.274758,8.15217,4.062971
10005,8.6570835,3.8278275,11.294567,2.25489
10006,5.7785554,3.2474205,8.4262085,2.528151
10007,8.611924,4.573681,11.346897,2.4078174
10008,9.014198,4.5114202,8.392607,3.3785486
10009,9.366037,3.748477,8.229743,2.4796405
10010,9.395427,3.867788,10.080565,4.85001
10011,8.590023,3.3541536,5.6371517,3.5255413
10012,9.16684,3.9288337,6.7459283,2.269794
10013,6.635362,4.109212,9.827284,2.8102734
10014,9.037045,4.331689,7.171991,1.6291329
10015,4.4365425,2.8689892,6.217533,3.934108
10016,10.099526,3.2474766,8.910317,4.181524
10017,8.531499,4.029928,9.980905,2.651158
10018,10.180274,4.0782957,7.9010034,2.8962727
10019,5.9013133,4.0276337,7.2393227,0.7835797
10020,8.219694,3.5332904,8.741515,3.4047222
10021,12.135464,4.585715,10.995493,2.59617
10022,11.125867,4.486886,11.036993,3.0163176
10023,6.5909486,4.2055635,7.851656,2.9365435
10024,7.5160046,4.1217756,10.136518,3.18043
10025,10.0320835,4.1124964,6.892926,2.9478912
10026,12.955552,3.847874,10.057449,1.7585262
10027,12.032421,4.576775,11.592628,4.419113
10028,2.0518837,3.6935992,7.8918962,2.6749356
10029,8.488987,3.793284,7.4935055,4.071618
10030,3.463567,3.3624475,7.042825,2.2534537
10031,8.071401,3.3400364,8.212848,3.2472951
10032,14.162162,4.7953544,11.440566,3.2322633
10033,8.470108,4.2603703,10.352316,3.7482584
10034,10.834704,4.1184444,13.071684,2.5965269
10035,7.815967,3.5720541,7.3773036,3.512039
10036,9.272975,4.5417576,7.1109266,4.917712
10037,6.0753574,4.0531216,6.4921274,2.473644
10038,9.158591,4.5874577,8.277376,2.6061604
10039,7.306326,3.3237593,9.209994,2.9605348
10040,4.031827,4.0605116,9.191266,3.045593
10041,7.1519785,4.2561264,9.371403,3.525028
10042,7.4074216,4.215152,11.207757,2.680532
10043,12.526293,3.6474972,11.196789,3.935487
10044,6.9095864,3.7038577,10.7896385,3.195446
10045,7.4278593,4.384556,12.396428,3.1906424
10046,6.5274873,4.343316,9.09738,2.7959886
10047,7.445309,4.1089907,9.843878,3.9824245
10048,7.0198793,3.4602356,8.640854,3.474603
10049,7.5018215,4.547338,9.417644,2.9884102
10050,7.29956,3.9138722,9.82721,1.6080966
10051,8.4432335,4.1332197,6.626746,3.5800126
10052,10.414096,4.46801,9.148161,2.8942688
10053,6.6377463,3.9990501,9.844755,2.1794798
10054,6.4260263,3.7095337,7.926681,2.8014793
10055,8.412811,3.2309046,14.697391,5.1052876
10056,9.622365,5.100305,10.461427,4.3402305
10057,12.88962,4.1586175,8.91117,2.273425
10058,10.140922,4.109499,11.408702,3.7769525
10059,9.969651,3.6355982,6.8048244,5.7580004
10060,11.416895,3.0046806,6.4894724,2.0991423
10061,10.302532,4.2473426,9.571329,1.4944435
10062,5.475359,3.5879972,7.098145,2.3873463
10063,11.980098,4.292756,7.7189884,4.2940063
10064,7.2034144,3.386368,6.077798,3.787179
10065,13.09625,3.2258754,10.133858,2.5256903
10066,8.024979,2.74862,8.882732,2.9565125
10067,10.82313,3.7449749,6.7000356,2.7893884
10068,8.870174,3.9309654,10.274703,3.7778187
10069,10.474558,4.842877,11.024911,2.5691335
10070,6.9650507,3.8877335,8.610512,2.711318
10071,0.26634228,3.1845527,9.638098,3.4622838
10072,6.9566116,4.4504867,13.622316,3.012909
10073,7.388964,3.0022295,9.711362,3.4227262
10074,5.439304,3.6546912,8.844765,3.9217257
10075,7.6492114,5.8025074,13.270793,1.6173733
10076,9.099319,3.7655635,10.949361,2.0540657
10077,8.146673,4.193515,9.579249,2.7015216
10078,11.273969,3.804131,8.879861,3.8761137
10079,12.487699,4.0936246,10.179659,2.6365502
10080,7.3289223,3.4652586,8.34713,2.8160307
10081,9.010072,4.2221193,8.084151,2.4415228
10082,11.436544,4.3508916,11.042518,3.533385
10083,6.820007,3.0783062,10.330489,1.9050149
10084,5.932125,3.4500256,7.0537186,4.1232996
10085,12.3559265,4.0739126,5.765664,4.6564736
10086,10.727077,3.9568155,8.20214,1.9686168
10087,11.999496,4.617267,9.151408,3.1210024
10088,5.6098533,3.55079,8.006167,3.2533822
10089,9.693686,4.8511477,8.453304,1.9104993
10090,7.2901673,4.100546,10.088216,2.8810842
10091,2.8691132,3.2863317,8.388839,1.6847122
10092,3.9562793,3.1681042,9.188459,0.3634736
10093,4.815949,4.0000625,6.901903,0.97859466
10094,7.7057486,3.2507353,6.213197,2.0351715
10095,2.9722779,3.596874,6.798309,1.3985125
10096,-0.066539705,3.2757037,10.189556,2.216259
10097,5.6584635,4.542496,10.0199585,3.5760548
10098,10.521468,4.4341955,8.694379,2.6302862
10099,8.773301,4.3295727,9.366584,2.6812978
10100,6.117854,4.406845,8.109346,3.0346901
10101,4.5145354,4.236946,9.967153,1.2696843
