id,X,Y,M,V
2800,-269.47458,-50.502926,101.603294,0.3993532
2801,311.65573,-278.4789,87.80968,0.40359458
2802,-233.97638,140.59415,26.668268,0.38900366
2803,165.41077,283.48224,25.326557,0.3991905
2804,-152.30907,184.9104,121.17489,0.40621302
2805,236.65831,-140.15823,46.5379,0.59166765
2806,-204.71342,230.43527,112.824554,0.79273903
2807,-210.19702,-313.58426,37.30765,0.7588637
2808,-182.0731,120.275734,171.30444,0.30027673
2809,107.33613,374.31973,51.19699,0.8573327
2810,65.38911,112.33407,113.06325,0.9176211
2811,-219.77255,252.49863,83.676476,0.19977078
2812,217.28203,315.7223,103.49737,0.56368
2813,-24.477705,-3.3816342,48.851818,0.21372823
2814,-46.932045,-155.07759,37.839474,0.88097525
2815,-315.29468,-259.34964,109.25974,0.9151511
2816,2.9835846,-234.77417,48.341217,0.61139613
2817,-52.045036,-161.29114,158.51595,0.38328716
2818,18.38009,270.94427,76.65193,0.7362912
2819,185.68561,-266.6232,140.00035,0.40271562
2820,248.1167,-368.75208,78.3244,0.7866411
2821,-311.6265,-28.654448,89.71258,0.2005634
2822,356.87015,155.98125,41.024357,0.40510795
2823,339.1893,-121.08991,109.38772,0.6470926
2824,285.5545,-317.76932,47.99166,0.9519961
2825,229.42041,-377.56464,57.14684,0.4784285
2826,203.23029,214.55684,60.078423,0.617482
2827,220.55939,200.478,125.48196,0.51533026
2828,339.66336,148.90886,152.68016,0.7722311
2829,-101.6943,396.22037,87.908615,0.40722153
2830,249.40567,-39.716835,56.181015,0.39855266
2831,-158.74327,147.95515,94.94574,0.93753046
2832,342.88525,-266.8636,43.892117,0.61039054
2833,-370.70416,-179.66948,132.99826,0.47991008
2834,220.02557,-306.93515,127.49373,0.92847425
2835,-155.63968,-4.9989448,99.47959,0.5968183
2836,-398.4823,287.17773,143.61774,0.39593637
2837,114.33904,393.2213,90.602104,0.35010996
2838,-145.15402,-267.81708,141.0933,0.20325081
2839,-143.38481,329.8328,95.70031,0.50106883
2840,382.27954,230.51073,133.20787,0.5360668
2841,1.4709904,-292.31854,33.34215,0.60384196
2842,-111.18335,313.39938,168.34735,0.83419925
2843,-392.21893,-282.85583,61.191635,0.40429386
2844,-334.83566,310.63077,95.846085,0.34138933
2845,121.00288,-166.65703,24.663757,0.26615372
2846,131.6324,-316.9118,67.61366,0.20384856
2847,280.70865,-211.3262,104.9379,0.6981706
2848,114.0724,73.21865,152.35493,0.50492966
2849,306.20825,20.204334,142.47571,0.20836234
2850,-325.22955,-17.351831,58.9648,0.29154953
2851,371.64774,-97.16166,90.974884,0.81256276
2852,-336.33755,-202.73978,62.077385,0.21761687
2853,353.40686,-272.44632,43.04686,0.5638814
2854,-399.5998,36.59384,110.087135,0.75471735
2855,-262.43228,256.58148,169.64122,0.6061818
2856,-322.90668,-268.21228,133.34784,0.4082621
2857,270.34457,-107.84827,115.4907,0.58231366
2858,-138.76003,170.03255,96.97045,0.8250061
2859,-31.30617,-146.17612,73.63886,0.5974563
2860,-339.29825,119.5104,39.006226,0.24349396
2861,378.3118,62.365414,130.09518,0.6371641
2862,71.91775,54.428806,89.77359,0.937801
2863,-325.51672,326.9475,134.27078,0.5967726
2864,-290.57205,-51.43991,25.017357,0.5007917
2865,391.37143,-257.86673,70.621735,0.80313975
2866,176.90642,-84.92554,132.48856,0.562874
2867,328.20395,181.0931,110.40603,0.40155786
2868,98.07461,-112.67531,59.092438,0.633517
2869,37.044292,84.199196,25.045036,0.8270247
2870,-299.40274,-181.81471,167.21452,0.5983607
2871,-140.63715,15.566474,72.35957,0.20117225
2872,-341.42648,-71.92616,133.5397,0.2563673
2873,131.80333,-391.94727,153.80635,0.63579875
2874,86.4522,-115.0231,108.393135,0.36460328
2875,-151.90616,-307.43008,65.84779,0.988848
2876,-0.5994636,-296.92416,126.85563,0.27155554
2877,203.31737,215.88007,78.52456,0.37731764
2878,-137.42365,-223.72556,25.266497,0.42641386
2879,282.78418,282.67755,75.933525,0.19880238
2880,391.69632,-227.78181,142.56421,0.40628034
2881,-329.7826,20.812996,117.48521,0.60258955
2882,-263.22205,237.41966,155.95697,0.9121205
2883,-206.43155,-21.253843,153.06293,0.5979231
2884,365.72433,190.0032,104.90222,0.59732646
2885,119.54295,-131.44978,118.59595,0.69588315
2886,184.95178,-301.2641,101.2679,0.42241988
2887,-239.29337,47.37709,142.99911,0.8484353
2888,-168.00633,195.73529,102.16852,0.36300725
2889,358.1773,-14.090152,116.24207,0.36871687
2890,293.8098,-37.1104,74.00875,0.8912273
2891,87.71322,229.1097,27.84851,0.66831523
2892,-31.755383,-26.50767,74.01316,0.3799891
2893,-313.20773,-314.56674,123.78602,0.24768701
2894,-237.80904,-317.25662,86.81898,0.5925723
2895,-162.66576,-326.23364,124.490234,0.39958668
2896,-278.2273,-43.29974,126.60539,0.6969623
2897,145.92245,-342.02814,146.896,0.21946418
2898,99.470856,-314.45605,102.6379,0.8530876
2899,-152.99773,196.33076,65.24236,0.55996567
2900,312.72015,-172.75667,146.8229,0.6002746
2901,172.83264,151.67697,53.82279,0.41293898
2902,-365.57816,-298.2135,106.684654,0.662738
2903,-342.8614,84.48045,122.86344,0.8839521
2904,-289.75433,380.69257,67.321,0.7964607
2905,270.6529,-100.13058,107.13669,0.20061825
2906,-30.008724,-136.54997,79.66477,0.60820997
2907,-164.33893,-174.00749,107.83668,0.93027085
2908,61.333294,259.001,82.38706,0.41934565
2909,32.05732,380.43875,78.358635,0.60012484
2910,-78.8847,-16.592054,157.72914,0.75386965
2911,42.855614,-293.76266,162.23174,0.2838984
2912,-293.7467,392.6724,148.1054,0.43672037
2913,35.115353,94.92868,145.73268,0.40439242
2914,-332.42316,304.72928,49.490253,0.24686545
2915,-285.41333,-282.4325,44.057205,0.31825608
2916,-133.5678,-230.92131,66.48094,0.763849
2917,-79.501564,-185.52292,70.035835,0.2081603
2918,112.87996,-343.20526,151.41312,0.8723702
2919,129.61826,199.8627,143.78293,0.19968717
