일자,시가,고가,저가,종가,거래량
2020-06-02,"39,000",,,,
2020-06-01,"36,000","38,750","36,000","38,750","1,407,345"
2020-05-29,"35,900","36,750","35,900","36,000","576,566"
2020-05-28,"36,200","36,300","35,500","35,800","548,493"
2020-05-27,"35,900","36,450","35,800","36,400","373,464"
2020-05-26,"36,450","36,500","35,750","36,100","409,419"
2020-05-25,"36,000","36,500","35,700","36,400","422,582"
2020-05-22,"35,900","36,350","35,300","35,800","360,044"
2020-05-21,"36,500","36,500","35,600","35,850","469,389"
2020-05-20,"36,500","37,050","35,750","36,200","547,478"
2020-05-19,"36,500","36,550","35,250","35,400","605,488"
2020-05-18,"36,800","37,700","35,450","36,050","1,110,644"
2020-05-15,"36,100","37,300","35,000","36,000","1,172,980"
2020-05-14,"34,350","36,200","34,000","35,900","596,496"
2020-05-13,"34,850","35,250","34,000","34,500","472,627"
2020-05-12,"34,650","35,200","34,000","35,000","407,805"
2020-05-11,"33,500","34,750","33,100","34,550","615,499"
2020-05-08,"35,100","35,800","33,500","34,200","685,543"
2020-05-07,"35,000","35,750","34,300","35,200","561,467"
2020-05-06,"33,350","34,950","32,700","34,450","684,259"
2020-05-04,"32,400","34,150","31,750","33,000","633,360"
2020-04-29,"31,750","32,900","31,400","32,450","475,846"
2020-04-28,"31,750","32,450","31,400","31,800","391,156"
2020-04-27,"31,300","32,050","30,900","31,800","633,962"
2020-04-24,"29,900","31,200","29,550","31,150","906,931"
2020-04-23,"29,450","29,700","29,250","29,600","256,848"
2020-04-22,"28,400","29,600","28,150","29,500","374,168"
2020-04-21,"29,050","29,050","28,300","28,750","327,164"
2020-04-20,"28,700","29,400","28,700","29,100","266,514"
2020-04-17,"29,250","29,650","29,000","29,050","290,703"
2020-04-16,"28,750","29,450","28,500","29,200","231,729"
2020-04-14,"29,000","29,700","28,950","29,000","271,277"
2020-04-13,"29,050","29,450","28,550","28,800","233,580"
2020-04-10,"29,550","29,550","28,600","29,050","336,925"
2020-04-09,"29,750","29,800","29,000","29,550","485,278"
2020-04-08,"29,400","30,050","28,900","29,450","421,981"
2020-04-07,"29,900","30,250","28,800","29,200","575,230"
2020-04-06,"28,100","29,800","28,100","29,500","647,069"
2020-04-03,"26,950","28,250","26,800","28,050","484,075"
2020-04-02,"26,800","27,350","26,050","26,950","336,491"
2020-04-01,"26,850","27,550","26,550","26,950","526,773"
2020-03-31,"26,550","27,300","26,150","26,850","650,506"
2020-03-30,"25,300","26,600","24,650","25,850","486,069"
2020-03-27,"26,600","26,700","24,750","25,500","622,261"
2020-03-26,"24,800","25,950","24,300","25,450","744,386"
2020-03-25,"23,600","24,750","22,850","24,400","794,298"
2020-03-24,"22,300","23,050","21,900","22,700","617,814"
2020-03-23,"22,350","22,850","21,450","21,700","450,741"
2020-03-20,"21,800","24,200","21,150","24,200","776,466"
2020-03-19,"25,000","25,300","21,400","22,000","707,613"
2020-03-18,"25,500","26,550","24,300","24,600","593,689"
2020-03-17,"24,000","26,400","24,000","25,300","645,186"
2020-03-16,"25,500","26,100","24,850","25,300","753,805"
2020-03-13,"24,500","26,200","23,200","24,850","1,080,618"
2020-03-12,"26,550","27,100","25,550","26,400","709,537"
2020-03-11,"28,850","28,850","27,200","27,450","580,620"
2020-03-10,"27,500","28,850","27,400","28,550","613,456"
2020-03-09,"28,950","29,100","27,500","28,000","677,198"
2020-03-06,"29,250","29,900","28,400","29,250","604,152"
2020-03-05,"28,750","29,950","28,500","29,250","796,260"
2020-03-04,"26,950","28,950","26,750","28,750","905,779"
2020-03-03,"26,850","28,150","26,800","26,800","622,528"
2020-03-02,"26,550","27,000","26,150","26,350","607,259"
2020-02-28,"26,800","27,200","26,400","26,600","630,631"
2020-02-27,"27,800","28,300","27,300","27,600","393,450"
2020-02-26,"28,050","28,350","27,550","27,950","532,727"
2020-02-25,"28,000","28,950","27,000","28,650","492,418"
2020-02-24,"29,300","29,500","27,900","28,300","1,048,672"
2020-02-21,"30,800","31,200","29,900","30,000","639,772"
2020-02-20,"31,550","32,750","31,000","31,250","955,674"
2020-02-19,"29,300","31,750","29,250","31,500","1,005,051"
2020-02-18,"29,550","29,550","29,050","29,250","223,376"
2020-02-17,"29,700","30,350","29,400","29,700","261,958"
2020-02-14,"29,200","29,900","29,200","29,500","220,440"
2020-02-13,"29,850","29,850","29,300","29,400","380,234"
2020-02-12,"29,550","29,750","28,950","29,750","392,377"
2020-02-11,"30,050","30,300","29,100","29,300","409,220"
2020-02-10,"30,200","30,200","29,500","29,850","219,724"
2020-02-07,"29,700","31,450","29,700","30,050","674,432"
2020-02-06,"31,150","31,350","29,000","29,600","702,275"
2020-02-05,"30,800","31,200","30,500","30,650","234,261"
2020-02-04,"30,250","31,100","30,250","30,800","279,079"
2020-02-03,"29,100","30,550","29,000","30,300","440,195"
2020-01-31,"31,350","31,550","30,000","30,000","580,766"
2020-01-30,"31,900","32,000","31,450","31,550","226,414"
2020-01-29,"31,600","32,250","31,250","31,850","290,952"
2020-01-28,"31,950","32,000","30,800","31,450","651,686"
2020-01-23,"33,000","33,000","32,400","32,650","191,035"
2020-01-22,"32,200","32,950","32,050","32,750","339,176"
2020-01-21,"32,100","32,950","32,100","32,450","222,057"
2020-01-20,"32,300","33,000","31,850","32,050","339,934"
2020-01-17,"31,650","33,000","31,650","32,350","523,245"
2020-01-16,"31,750","32,200","31,400","31,600","508,950"
2020-01-15,"29,050","31,800","28,700","31,650","1,580,120"
2020-01-14,"27,250","29,100","27,250","29,050","472,229"
2020-01-13,"27,350","27,600","27,100","27,400","202,990"
2020-01-10,"27,650","27,900","27,050","27,200","470,966"
2020-01-09,"27,850","28,100","27,600","27,850","308,371"
2020-01-08,"28,250","28,300","27,400","27,700","505,321"
2020-01-07,"28,600","28,900","28,400","28,450","242,789"
2020-01-06,"28,550","28,900","28,400","28,650","227,073"
2020-01-03,"29,050","29,050","28,450","28,550","227,376"
2020-01-02,"29,200","29,400","28,700","28,900","234,407"
2019-12-30,"28,600","29,450","28,600","29,000","249,051"
2019-12-27,"27,500","29,050","27,400","28,750","476,147"
2019-12-26,"28,150","28,300","27,800","27,900","269,209"
2019-12-24,"28,000","28,250","27,650","28,100","261,022"
2019-12-23,"28,000","28,000","27,550","27,800","187,962"
2019-12-20,"27,800","28,250","27,450","27,600","244,550"
2019-12-19,"28,000","28,050","27,450","27,650","213,285"
2019-12-18,"27,200","28,150","27,100","28,000","313,186"
2019-12-17,"27,450","27,450","27,050","27,050","482,591"
2019-12-16,"27,200","27,550","26,950","27,300","302,999"
2019-12-13,"28,200","28,250","26,850","27,200","914,681"
2019-12-12,"28,300","28,750","27,800","28,100","675,334"
2019-12-11,"27,950","28,650","27,850","28,450","223,127"
2019-12-10,"28,150","28,150","27,700","27,900","235,080"
2019-12-09,"28,550","28,800","27,950","28,000","325,924"
2019-12-06,"28,550","28,750","28,300","28,450","142,494"
2019-12-05,"29,050","29,100","28,450","28,550","147,379"
2019-12-04,"28,550","29,200","28,450","29,050","382,032"
2019-12-03,"27,800","28,600","27,800","28,550","410,393"
2019-12-02,"28,300","28,650","27,650","27,800","260,949"
2019-11-29,"28,500","28,900","27,850","28,250","378,062"
