recipe_title,recipe_source,recipe_step
,,
버섯밥,"['불린쌀', '표고버섯', '간장', '올리고당', '다진마늘', '다진파', '고춧가루', '참기름', '깨']","['#1 ', '#2 ', '#3 ', '#4 ', '#5 ', '#6 ', '#7 ']"
버섯탕수,"['새송이버섯', '목이버섯', '파프리카', '튀김가루', '물', '간장', '식초', '설탕', '물', '전분가루']","['#1 ', '#2 오늘은 고기보다 더 초크초크하고 부드러운 버섯탕수를 만들어볼거에요~ 표고나 다른 버섯을 이용해도 OK! 함께 만들러 가볼까요? 레츠꼬! * 자세한 재료는 재료기입란을 참고하라구~~~', '#3 목이버섯은 물에 불려 준비해요! ', '#4 먼저 야채를 손질해주세요!버섯과 다른 야채들은 한입크기로 썰어 준비합니당! ', '#5 짜라란~ 바로 요렇게! ', '#6 탕수 반죽대로 반죽을 만들어도 좋지만 소스를 뿌려먹기엔 튀김가루만큼 바삭하고 맛있는 게 없다능!! 튀김가루에 물을 넣고 잘 섞어 반죽을 만들어주세요~ ', '#7 버섯에 튀김옷을 고루 입힌 뒤 ~ ', '#8 예열한 기름에 노릇노릇 튀겨줍미당 ! ', '#9 우왕.. 바삭바삭..  튀김가루를 이용하면 튀김옷이 요렇게 바삭하고 풍성하게 튀겨집니다! ', '#10 이제 소스를 만들어볼까요?물과 식초, 설탕, 간장을 한데 넣고 보글보글 끓어오르면 야채와 목이버섯을 넣고 한소끔 끓여줍니다.', '#11 걸쭉한 농도를 내기 위해 전분가루에 물을 두어큰술 고루 섞어 소스에 넣어줄거에요! ', '#12 전분물을 넣고 재빨리 섞어 농도를 맞추어줍니다! 기호에 따라 전분가루를 가감해 주세요! ', '#13 그리고 그릇에 함께 내면 완성!찍먹파지만 오늘만큼은 바삭한 튀김을 묽은 소스에 적셔먹는 스타일로 만들어보았어요! ', '#14 완전바삭 + 묽은 소스의 조합은 .. 먹어본 사람만 알수 있는 그 식감과 맛! 여러분도 도전해보세요! 빵야!']"
버섯 장조림,"['버섯', '간장', '미림', '물', '쪽파']","['#1 ', '#2 ', '#3 ', '#4 ', '#5 ', '#6 ', '#7 ']"
버섯덮밥,"['팽이버섯', '양파', '표고버섯', '쪽파', '가쓰오부시', '다시마', '국간장', '계란']","['#1 오늘도 참을 수 없는 맛을 들고 온 참치마요가 왔어!!!', '#2 해머거들 요즘 봄이라고 옷 얇게 입으면 큰 코 다치는거 알지?일교차가 커서 밤에는 아직 춥다구~', '#3 괜히 감기 걸리지 말고 오늘 뜨끈뜨끈한 초간단 덮밥 한 그릇 해볼까?', '#4 몸에도 맛도 좋은 초간단 버섯 덮밥을 할거야재료 : 좋아하는 버섯 여러가지, 계란1알, 가쓰오부시 한줌, 쪽파 약간, 밥1공기, 다시마 1조각 양파 ½개', '#5 물 2컵에 다시마 1조각을 찬물에서부터 끓여줘, 물이 끓기 시작하면 다시마 꼭 빼는 거 잊지마!', '#6 다시마를 빼고 불을 줄인 후 가쓰오부시를 넣고 10분간 끓여줘, 그리고 체에 거르면 육수 끝!', '#7 버섯, 양파는 슬라이스를 해서 준비해줘 어떤 버섯이든 OK!', '#8 완성된 육수에 버섯, 양파를 몽땅 넣어 팔팔 끓여줘! 버섯이 야들야들 잘 익었다면계란 1알을 풀어서 넣어주고 바로 불을 꺼주면 돼! 반숙 계란이 포인트!', '#9 고슬고슬 ~ 흰 쌀밥 준비해줘!', '#10 뜨끈한 버섯 덮밥완성! 쪽파까지 솔솔 뿌려서 꽃샘추위 이겨볼까?']"
버섯덮밥,"['표고버섯', '양파', '부추', '굴소스', '올리고당', '맛간장', '소금', '후춧가루', '다진마늘', '전분', '물', '밥']","['#1 ', '#2 안녕! 여러분의 입맛저격수 마틸다에용 ! 빵야!! ', '#3 오늘은 그이름도 초크초크한 버섯덮밥을 만들어볼까용 ?! * 자세한 레시피는 재료기입란을 참고해주세요! ', '#4 먼저 소스는 한데 담아 잘 섞어주세요! ', '#5 버섯을 비롯한 야채는 챱챱 슬라이스해 준비!! ', '#6 짠! 요렇게 준비 됐나요? ', '#7 먼저 기름을 둘러 달군 팬에 양파를 볶은 후 ', '#8 양파가 투명해지기 시작하면 버섯을 넣고 볶아주므니당', '#9 물과 소스를 넣어 파르르~ 끓여준 뒤~', '#10 물에 탄 전분을 넣고 휘휘 저어 농도를 맞추어주세요! 이때 기호에 맞게 소금을 가감해 간을 맞추어주세요! ', '#11 간이 알맞게 딱! 맞았다면 손가락 한마디 길이로 썬 부추를 넣고 휘리릭! 저어 완성합니다! ', '#12 요렇게 완성한 버섯볶음소스는 따끈한 밥위에 올려 주면 완성!우왕.. 초크초크한 버섯덮밥... ♥여러분도 도전해보세요! 빵야! ']"
버섯무침,"['맛타리버섯', '소금', '다진마늘', '들깨가루', '들기름']","['#1 ', '#2 안녕하세요~ 해머거님^^오늘도 건강한 집밥 반찬 한가지 가지고 왔지요~~후후', '#3 재료(4인분/10분)필수 재료맛타리버섯(3줌), 소금(⅓큰술 + ⅛큰술), 다진 마늘(⅓큰술), 들깨가루(1 ½큰술), 들기름(1큰술)', '#4 맛나리버섯의 밑동을 제거한 뒤 가닥가닥 뜯어 흐르는 물에 가볍게 헹궈 준비해요!새송이버섯, 표고버섯 등 다른 버섯을 이용해도 좋아요^^', '#5 끓는 물에 소금(⅓큰술)을 넣고 버섯을 넣어 10초 뒤 건져요.', '#6 살짝 식혀 지그시 눌러 물기를 짠 뒤 소금(⅛큰술), 다진 마늘(⅓큰술), 들깨가루(1 ½큰술), 들기름(1큰술)으로 넣고 간이 배도록 조물조물 무치면 끝!', '#7 쫄깃쫄깃~ 고소고소~~ 완전 건강 반찬이 완성!!!', '#8 비빔밥 고명으로 활용해도 좋아요~']"
버섯무밥,"['마른표고버섯', '쌀', '무', '물', '고춧가루', '간장', '참기름', '다진마늘', '다진파', '부순참깨']","['#1 ', '#2 맛있는 레시피를 가지고 온 앨샘이에요^^오늘은 전기밥솥으로 만드는 별식 밥요리를 가지고 왔지요~~ㅎㅎ', '#3 재료(2인분/40분)필수 재료마른 표고버섯(2/3컵), 쌀(2컵), 무(3줌), 물(2컵)양념장고춧가루(1 1/2큰술), 간장(4큰술), 참기름(2큰술), 다진 마늘(1/2큰술), 다진 파(1큰술), 부순 참깨(1큰술)', '#4 마른 표고버섯은 미지근한 물에 담가 20분간 불려 준비해요.', '#5 무는 굵게 채 썰구요~', '#6 밥솥에 씻은 쌀과 물기를 꼭 짠 버섯, 무를 올려요.  버섯 불린 물을 포함해 2컵을 붓고 전기 밥솥에 취사해요.', '#7 밥을 비벼 먹을 양념장을 만들어요.*양념장  :  고춧가루(1 1/2큰술), 간장(4큰술), 참기름(2큰술), 다진 마늘(1/2큰술), 다진 파(1큰술), 부순 참깨(1큰술)', '#8 대접에 갓 지은 밥을 담고 참기름 향 솔솔~ 나는 양념장을 곁들여 슥슥 비벼 먹어요 ^ㅡ^']"
포토벨로 버섯 피자,"['포토벨로버섯', '시금치', '마늘', '올리브오일', '발사믹식초', '칠리가루', '소금', '후추', '피자소스', '파마산치즈']","['#1 이 피자는 정말 빨리 그리고 아주 쉽게 만들 수 있어서 좋아요! 기존에 있던 레시피를 나만의 방법으로 좀 더 바꿔봤답니다. 간편하게 만들지만 한 입 베어 물면 버섯 향이 입안 가득 퍼져 정말 풍부한 맛을 느낄 수 있어요.', '#2 올리브 오일, 발사믹 식초, 마늘, 칠리 가루, 소금, 후추를 밀봉 봉투에 넣어서 마리네이드를 만들어주세요. 만들어진 마리네이드에 버섯을 넣어 최소 2시간 정도 재워둡니다.', '#3 오븐을 190도 정도로 맞춰 예열해주시고, 베이킹 시트 위에 쿠키 식힘 틀을 얹어주세요. 버섯은 밑동이 위를 향하게 해주시고 오븐에서 10분간 구워주세요. 구운 버섯 위에 시금치, 피자 소스와 치즈를 얹습니다. 이렇게 오븐에 넣어 다시 5분에서 10분간 구워주세요.', '#4 치즈가 잘 녹으면 요리 끝!', '#5 포토벨로 피자는 밀가루가 들어가지 않아 글루텐이 없는데요, 만약 레시피에서 치즈를 빼면 완벽한 베지테리안 레시피가 된답니다. 치즈를 빼도 버섯 향이 워낙 풍부해 치즈가 있는지 없는지도 모를 거예요. 오늘 저녁 만들기 쉬운 나만의 버섯 피자 어떠세요?']"
버섯달걀전,"['맛타리버섯', '채썬깐도라지', '밀가루', '소금', '달걀']","['#1 ', '#2 고소한 기름 냄새 풍기면 집에서 간단하게 만드는 달걀전을 준비했어요!쫄깃한 버섯을 가닥가닥 찢어 달걀물에 섞기만 하면 반죽은 끝! 간단한 레시피는 덤!ㅋ', '#3 재료(4인분/15분)필수 재료맛타리버섯(2줌), 채 썬 깐도라지(1줌), 밀가루(3큰술), 소금(⅛큰술), 달걀(2개)', '#4 맛타리버섯은 밑동을 제거한 뒤 잘게잘게 찢고, 아삭아삭 씹는 맛이 있는 깐 도라지는 가늘게 채 썰어요.도라지를 생략하고 양파를 사용하거나 버섯(1줌)을 더 넣어 만들어도 돼요^^', '#5 버섯과 도라지를 볼에 담고 밀가루(3큰술)을 넣어 버무려요.', '#6 밀가루가 고루 버무려지면 소금(⅛큰술), 달걀(2개)를 넣고 한 번 더 조물조물 버무리세요^^', '#7 식용유를 두른 팬을 중간 불로 달군 뒤 반죽을 먹기 좋은 크기로 얹어 노릇한 색이 나도록 구워요.', '#8 간장과 식초를 섞은 초간장을 곁들여 먹어도 맛있답니다 ㅋ']"
