recipe_title,recipe_source,recipe_step
,,
돼지고기 두반장 볶음,"['당근', '양배추', '피망', '파', '돼지고기등심', '녹말가루', '청주', '달걀흰자', '마늘', '맛술', '두반장', '설탕', '블랙빈소스']","['#1 맛있어져라, 양배추 양배추 수프 다이어트라는 장르가 따로 있을 정도로 양배추는 우리 몸에 좋은 식재료 중 하나이다. 요즘 들어 나는 양배추를 이용한 요리에 관심을 가지는 중이다..', '#2 포만감도 크고 건강에도 좋고 하지만 뭐니뭐니해도 머니 ^^ 그래서 어떻게 하면 양배추를 맛있게 다양한 방법으로 즐길 수 있을까를 고민하고 있는 중~!!!\ufeff', '#3 볶음밥은 간단하다. 뜨거운 팬에 식용유를 두르고 마늘을 넣어 향을 낸다. 여기에 살짝 절인 탓소이나 열무 송송송 썰어 준 것을 넣고 맛술을 살짝 넣어 볶아 준다.야채가 반지르르 그린색 윤기를 발하기 시작하면~ 여기에 다진 다꾸앙을.. 아니아니 단무지를 넣어 준다. 준비한 꼬돌꼬돌 밥통 밥을 넣어 주고 나무 주걱으로 고르게 뒤섞어 가며 볶아 준다. 소금과 깨소금으로 살짝 간을 하고.. 앗!미리 스크램블드 해놓았던 달걀(: 1개+ 노른자 1개.. 나머지 흰자는 돼지고기 야채 볶음에서 ^^)를 넣고 후추를 샤샤샥 넣어 완성 한다. 새콤달콤한 다꾸앙.. 단무지의 씹힘..이 재밌네요~.', '#4 볶음 요리는 2인분 기준으로 야채 보시는 바와 같이 많이 듬뿍듬뿍 준비한다. 오늘의 경우, 채 친 당근이 1개, 양배추 230g 정도, 피망 1개와 파 숑숑숑', '#5 돼지고기 등심! 대략 150-180g 정도를 얇게 저며서 볶음밥하고 남은 달걀 흰자 1와 청주 약간에 녹말가루를 조금 넣어 조물조물 무쳐 준비한다. ^^ 아, 난 왠지~ 달걀흰자물에 범벅된 녹말옷을 껴입은 돼지고기 자태가 이쁘더라.', '#6 팬에 식용유를 둘러준 뒤 마늘 2쪽 송송 썰어 넣어 향을 내고 준비한 야채를 다 쏟아 담아 맛술을 조금 넣어 중불에서 부드럽게 익어들때까지 볶아 준다.볶은 야채는 따로 접시에 덜어 담아 준 뒤, 불을 세게 올려 팬에 식용유를 조금 더 둘러 주시고 두반장 1-1.5스푼을 넣어 10초 가량 잽싸게 볶아낸다. 여기에 녹말옷 살짝 껴입은 돼지고기를 넣어 볶는다..\ufeff돼지고기가 익으면 미리 볶아 두었던 야채를 넣어 고르게 잘 볶아주도록 한다.고르게 섞이면 블랙빈 소스 (: 혹은 오이스터 소스)와 설탕 0.3스푼 정도를 넣어 간을 하여 완성한다.', '#7 몸에도 친절하고 가격 또한 친절한 양배추둥이들로 만들어 본 포만감 대박인 볶음요리다.']"
돼지고기 볶음고추장,"['다진돼지고기', '고추장', '양파', '대파', '마늘', '올리고당', '설탕', '간장', '식용유', '통깨']","['#1 대파는 송송 썰고 양파는 다져준다.', '#2 팬에 기름을 두르고 양파와 대파를 넣고 볶고 양파가 반쯤 투명해지면 다짐육을 넣고 섞어가며 볶아준다.', '#3 모든 재료를 넣고 골고루 섞어 한소끔 끓여 완성']"
돼지고기장조림,"['삶은계란', '돼지고기', '조선간장', '진간장', '물', '매실농축액', '울금가루', '다진마늘']","['#1 요새 저염음식을 만들어 먹으려고 노력 중인 먹홀릭 이에요. 저희 가족이 확실히 짜게 먹긴 해요 그래서 저염으로 맛있게 만들어진 돼지장조림 소개해드리고 싶어요장조림이나 간장조림 음식은 제가 좀 덜 짜게 하는 편이거든요 ^^ 소개해드려 볼게요', '#2 계란 잘 삶은 방법 중 하나가, 식초와 소금을 이용하시는 거예요 계란 삶을 때 강한 불에 5분, 중불에 10분~13분 식초와 물 혹은 소금을 함께 넣어주시면 매끈하게 아주 잘 삶아진답니다!', '#3 게란이 삶아지는 사이에 돼지고기 안심 부위를 2가지 방법으로 잘라줬어요아이들이 먹을 수 있게 작게, 어른들 크기 길게~', '#4 계란 정말 잘 까졌죠? 매끈 매끈~~ 먹음직스럽습니다!!', '#5 돼지고기와 울금가루 그리고 삶은 계란 넣어주시면 되세요 울금가루는 제 비법 중 하나인데 건강지킴이 이 자 고기나 해물에 누린내를 없애주는 비법 중 하나에요 ㅋㅋㅋ임실참울금 제품이에요 단골이거든요~', '#6 양념은 다해서 200ml도 안돼요~ 돼지장조림 반찬은 아이들이 가장 잘 먹는 저염음식 중 하나에요 나이 불문 다 좋아하죠^^', '#7 물이나 혹은 육수를 많이 부어주시고~한 30분 졸여주셔서 간을 봐주셔서 짜면 물이나 육수를 넣어주시고,안짜면 계속 졸여주세요~', '#8 저는 한 한시간 정도 계속 졸여준 것 같아요 전혀 짜지 않게 저염음식 완성', '#9 저염음식 건강하게 먹어볼 수 있는 돼지장조림 만들기 완성 어때요?고기가 부드럽게 계란에도 알맞게 간이 배었어요~']"
돼지고기볶음,"['우스터소스', '돼지고기', '통마늘', '피망', '양파', '소금', '후추', '식용유']","['#1 ', '#2 ', '#3 ', '#4 ', '#5 ', '#6 ', '#7 ', '#8 ', '#9 ', '#10 ', '#11 ', '#12 ']"
돼지고기 파인애플 볶음밥,"['밥', '돼지고기다짐육', '당근', '감자', '애호박', '파인애플', '양파', '다진파', '물', '포도씨유']","['#1 당근, 감자, 애호박, 파인애플, 양파는 0.5cm 크기로 썬다.', '#2 달군 팬에 포도씨유를 두른 다음 키친타월로 기름기를 닦아내고 양파와 다진파를 볶는다.', '#3 애호박, 당근, 파인애플, 감자를 넣고 볶다 돼지고기를 넣어 볶아준다.', '#4 당근과 감자가 어느 정도 익으면 밥과 분량의 물을 넣고 고루 섞어가면서 볶아 완성']"
소고기덮밥,"['소고기', '양배추', '마늘쫑', '달걀', '[소스]양파', '대파', '생강(소)', '물', '간장', '미림', '설탕', '다시마', '가쓰오부시', '건표고버섯', '건고추', '통후추']","['#1 안녕하세요! 해먹남녀에서 새롭게 인사드리는 푸드텔러입니다~ :)', '#2 오늘은, 데리야키 소스만 만들어놓으면 언제든 일식요리 뚝딱! 일식품 쇠고기덮밥 레시피를 전해드릴게요!', '#3 [주재료] 소고기(불고기용) 100g[부재료] 양배추 100g(1/10등분), 마늘쫑 2줄기, 달걀 1개', '#4 쇠고기는 핏물제거를 위해 키친타올 위에 준비해주세요.쇠고기는 얇게 편썰고, 양배추, 마늘쫑은 한 입 크기로 썰어주세요.Tip! 쇠고기는 식감이 부드러운 불고기감이 좋아요~', '#5 달걀은 풀어서 준비해두세요.', '#6 다음으로 데리야키소스 만들기! 재료가 될 양파는 채썰고, 대파와 생강은 편썰어 주세요.Tip! 단맛이 나는 사과나 파인애플도 준비하면 설탕양을 줄일수가 있어요.', '#7 팬에 기름 없이, 태우듯이 구워주세요.Tip! 육수나 소스에 들어가는 야채는 구우면 매운 맛은 줄어들고, 단맛과 향이 증가합니다.', '#8 냄비에 <물 1.5컵, 간장 1컵, 미림 1/2컵, 설탕 1/3컵, 다시마(6cm) 2장, 가쓰오부시 5g, 건표고버섯 2개, 건고추 1개, 통후추 10알>을 넣고 준비해주세요.Tip! 건고추는 월남고추나 페페로치니 3알과 대체 가능', '#9 냄비에 계량한 양념과 태운 야채를 모두 넣고 끓여주세요.끓기 시작하면 중약불로 불을 줄여 20분 정도 졸여주세요.', '#10 건더기는 체에 걸러 식힌 후, 유리병에 담아 냉장보관하여 한 달 정도 안으로 드세요.', '#11 팬에 데리야키소스 1/4컵 + 물 1/2컵을 넣고 양배추와 마늘쫑을 넣어 살짝 끓여주세요.', '#12 쇠고기를 펼치듯이 올려주세요.', '#13 쇠고기가 살짝 붉은 기가 돌 때 달걀물을 골고루 뿌려주고, 달걀이 거의 익으면 불을 꺼주세요.', '#14 우동국물이나 동치미와 함께 드시면 안성맞춤!', '#15 그럼 다음에 더 좋은 레시피로 찾아뵐게요~*']"
돼지고기피망잡채,"['(채썬)돼지고기', '새송이버섯', '양파', '청피망', '홍피망', '고추기름']","['#1 앨샘이 소개하는 가정에서 만드는 중화식 돼지고기피망잡채!!', '#2 꽃빵을 곁들여 일품요리르 즐겨도 좋지만 앨샘처럼 밥반찬으로 만들어도 좋아요!레시피 바로 공개합니다앙~', '#3 [필수재료] 채 썬 돼지고기(150g), 버섯(새송이 1개 또는 표고버섯 3개), 양파(1/2개), 청*홍피망(각 1개씩)[선택 재료] 고추기름(2큰술)', '#4 핏물을 제거한 고기는 밑간에 버무려요.고기 밑간 양념 : 설탕(⅓큰술), 간장(⅔큰술), 청주 또는 맛술(1큰술), 후춧가루(약간)', '#5 양념장을 만들어요. 다진 마늘 대신 통마늘을 납작 썰어 고기와 함께 넣고 볶아도 좋구요~ 다진 생강은 없다면 생략 가능!양념장 : 설탕(⅓큰술)+다진 마늘(½큰술)+다진 생강(⅛큰술), 굴소스(1큰술)+간장(1큰술)+참기름(½큰술)+ 후춧가루(약간)', '#6 섯과 양파, 피망(또는 고추)는 채 썰어요.너무 곱게 채 썰면 물기가 많아지고 너무 굵으면 뻗뻗할 수 있으니 적당한~~ 두께로!ㅋ', '#7 센 불로 달군 팬에 고추기름 또는 식용유(2큰술)을 두르고 고기를 넣고 볶아요.중화요리의 생면은 불!! 센 불에서 화리릭 볶아주세요^^', '#8 고기의 색이 전체적으로 변하면 양파, 버섯, 피망을 넣고 볶아 투명해지기 시작하면 양념장을 넣고 30초 정도 더 볶아 불을 끄세요~ 채소의 아삭함을 살리기 위해 센 불에서 단시간만 볶아내는 포인트!!', '#9 꽃빵을 준비해 함께 싸 먹으면 금상첨화!! 아쉽게 앨샘은 꽃빵이 없는 관계로.. 밥 반찬으로 즐겼다는...ㅎㅎ tip - 꽃빵은 김이 오른 찜기에서 10분 정도 쪄내요.', '#10 간편하게 전자레인지에서 데워도 되는데촉촉함을 유지하기 위해서 랩을 씌운 뒤 젓가락으로 구멍을 2~3번 톡톡 내고 전자레인지에서 1분~1분 30초(W700기준)간 돌리면 돼요. 그럼 다른 레시피로 또 만나요!']"
돼지고기간장조림,"['돼지고기통삼겹', '잡내제거용재료', '쪽파', '물', '간장', '맛술', '설탕']","['#1 ', '#2 안녕하세요! 해머거 여러분 :)이맥남입니다 히히아마 게시물이 올라갈 때 쯤이면 설이 지났을 텐데, 다들 설은 잘 보내시고 오셨나요? 오랜만에 가족분들 만나고 좋은 시간이 되셨으면 합니다 !그래서 오늘은 가족끼리 먹으면 좋은 음식!#오늘은뜬금없지않고훈훈', '#3 오늘 만들 요리는 ‘일본식돼지고기간장조림’입니다!갈비찜을 하려는데 고기 가격이 부담스러우신 분들은 딱 추천 드리고 싶어요 :)가족끼리 먹기 넘 좋고 특히나 너무나 야들야들 부드러운 돼지고기가달짝지근한 간장 양념과도 너무 잘 어울린답니다!일본말로는 ‘가쿠니’ 라고 부르더라구요! 만들기 쉬우니 다들 쉽게 도전 가능 하실 것 같아요 :)', '#4 재료는 재료란을 참고해주세요!재료는 생각보다 간단합니다! 돼지고기는 통삼겹 부위를 사용해주시구요! 정육점에 가서 달라고 하면 1줄 단위로 잘라주세요! 저는 1줄 사용했습니다! 잡내 제거용 재료는 생강, 월계수, 통후추, 대파, 통양파 등 사용해주세요!', '#5 냉동이였다면 충분히 해동된 상태에서 4등분 해주세요!', '#6 그런 다음 팬에 기름을 두르고 모든 면을 겉만 바삭바삭 노릇하게 익혀주세요! 안에까지 익힐 필요 없이 겉만 있었다면 바로 다른 면을 익혀주세요!', '#7 그런 다음 다른 냄비로 옴겨서 고기가 잠길 만큼 넉넉하게 물을 넣고 잡내제거용 재료를 넣고 푸욱 30분 동안 끓여주세요! 저는 약 1리터 조금 넘게 넣었습니다!', '#8 그렇게 30분 끓였다면 남은 육수에 분량의 간장, 물, 맛술, 설탕을 넣고 센불에서 점점 불을 줄여가면서 30-40분 동안 푸욱 졸여주세요! 막판에는 빨리 졸아버리니 조심하세요!', '#9 그러면 이렇게 갈색 빛으로 잘 졸아들은 간장조림이 됩니다! 계란이 있으신 분들은 미리 계란을 익혀서 막판에 넣어서 양념만 입히게 같이 졸여주시면 좋아요!', '#10 그런 다음 먹기 좋은 크기로 잘라서 그릇에 담고 취향에 따라 쪽파를 올려주면 완성! 그냥 드실 분들은 두껍게 자르시고, 아주 얇게 자르시면 덮밥 처럼 먹을 수 있고! 라면에 차슈 처럼 올려서 먹을 수도 있답니다!', '#11 짭쪼름한 간장 양념에 푸욱 삶아서 그런지 고기가 정말 아주 아주야들야들 합니다 ..! 이렇게 부드러울 수가 있다니.. 다음 번에는 진짜 2-3 시간씩 삶아서 엄청나게 부드러운 돼지고기를 만들어 보고 싶네요!가족들과 함께하는 식탁에 추천 드려요!이맥남이였습니다 :)']"
돼지고기달걀장조림,"['돼지안심', '마늘', '달걀', '월계수잎', '통후추', '[양념]간장', '설탕', '매실액']","['#1 안녕하세요. 푸드텔러 입니다. :)이번에는 밥도둑 반찬인 돼지고기 장조림을 소개할게요!', '#2 [재료] 돼지안심 1근(600g), 마늘 10개, 달걀 5개(또는 메추리알 20개), 월계수잎 3장, 통후추 20알[양념] 간장 3/4컵(180g), 설탕 130g, 매실액 2큰술', '#3 달걀은 끓는 물에 15분간 삶아주고', '#4 고기는 물 4컵을 붓고 월계수잎 3장, 통후추 20알을 넣고 중불에서 20분간 삶아주세요.[TIP] 월계수잎과 통후추가 없다면 생강이나 소주를 넣어 고기 잡내를 제거해줘도 좋습니다.', '#5 떠오르는 불순물은 제거하고', '#6 고기가 다 익었으면 식혀서 찢어주고, 달걀도 껍질을 벗겨 준비해주세요.', '#7 고기 삶았던 물에 월계수잎과 통후추를 건져 버리고, 양념(간장 3/4컵(180g), 설탕 130g, 매실액 2큰술)을 부어 주세요.', '#8 간이 잘 베이도록 20분정도 약한 불에서 졸여주면 완성!', '#9 이제 흰밥에 맛있게 먹으면 끝!']"
