recipe_title,recipe_source,recipe_step
,,
파프리카 쌈장 무침,"['파프리카 (노란색)', '파프리카 (빨간색)', '오이', '양파', '[양념]쌈장', '참기름', '깨']","['#1 안녕하세요. 푸드텔러 입니다. :)오늘은 파프리카를 이용한 쌈장무침 반찬을 소개할게요!', '#2 [재료]노랑, 빨강 파프리카 1/2개씩, 오이 1/4개, 양파 1/4개', '#3 오이는 삼발래로 썰어 수분이 많은 씨를 제거하고', '#4 굵직하고 어슷하게 썰어주세요.', '#5 양파는 채, 파프리카는 한입크기로 썰어주세요.', '#6 [쌈장양념] 쌈장 1큰술, 참기름 1/2큰술, 깨 1/4큰술을 넣고 버무려주면 끝!', '#7 정말 간단하지만 입맛 돋는 반찬이 되었습니다!']"
파프리카 컵밥,"['파프리카', '밥', '굴소스', '계란', '올리브유', '피자치즈']","['#1 오늘은 파프리카 요리를 들고 온 참치마요야~!ㅎ.ㅎ', '#2 한끼 식사로 든든하고 맛있고 건강한.. 뭐 그런거?', '#3 초간단 귀여운 파프리카 컵밥!누구나 냉장고에 계란 두 알이나 남아도는 치즈쯤 있으니까!', '#4 파프리카는 잘 씻어서 꼭지를 이렇게 자르고 속을 잘 파내 줘!', '#5 파프리카는 오일을 두른 프라이팬에 돌려가면서 잘 구워주면~벌써 노릇노릇!', '#6 굴소스로 초간단 볶음밥! 자기 입맛대로 이것저것 넣어서 해보자 ', '#7 노릇노릇 파프리카 안에 볶음밥 을 채워줘!!!', '#8 모짜렐라 치즈 듬뿍! 슬라이스 치즈도 맛있쟈나..', '#9 오븐없다고 실망하지말고 바로 전자레인지 1분 간다!!!', '#10 파슬리까지 파슬파슬 뿌리면 어때, 제법 든든하고 건강하고 맛있기까지!파프리카를 언제 통째로 먹어보겠어? 초간단 파프리카 컵밥 완성!', '#11 파프리카 특유의 향기와 쫄깃쫄깃 치즈까지!~', '#12 칼로 슥슥 잘라서 한입에 쏙! :) 오늘 점심은 노오븐 파프리카 컵밥 어때?']"
새우 파프리카전,"['대하', '노랑파프리카', '붉은파프리카', '실파', '홍고추', '달걀', '부침가루', '소금', '물', '[간장]양조간장', '식초']","['#1 안녕하세요. 푸드텔러 입니다. :)오늘은 파프리카의 상큼하고 아삭한 식감과 새우의 감칠맛을 이용한 바삭한 전을 소개해 드릴게요!', '#2 [2인 기준 재료] 대하 6마리, 노랑 파프리카 1/2개, 붉은 파프리카 1/2개, 실파 6줄, 홍고추 1/3개, 달걀 1개, 부침가루 4큰술, 소금 1/4큰술, 물 4큰술 [간장] 양조간장 2큰술, 식초 2큰술', '#3 새우는 머리, 몸통, 꼬리를 제거하고 반으로 포를 떠 내장을 제거해주세요.', '#4 실파와 파프리카는 5cm길이로 채썰고, 홍고추는 어슷하게 썰어 준비해주세요.', '#5 실파를 제외 한 모든 재료에 달걀 1개, 부침가루 4큰술, 소금 1/4큰술, 물 1큰술을 넣고', '#6 골고루 섞다가', '#7 마지막으로 실파를 넣고 섞어주세요.', '#8 팬에 오일을 넉넉히 두른 후 얇고 넓게 반죽을 부쳐주세요.', '#9 노릇하게 익으면 뒤집어 꾹꾹 눌러 더욱 바삭하게 지져주면 완성!', '#10 야식과 손님접대용으로도 좋은 새우 파프리카전! 한번 만들어 보세요!']"
파프리카 치즈 달걀찜,"['파프리카', '계란', '치즈', '소금', '후추']","['#1 오늘은 먹뚱쿡이 좋아하는 간단한 밑반찬을 하나 만들어 볼꺼야!', '#2 파프리카는 위에 꼭지를 따고 꼭지를 따면서 나오는 짜투리 파프리카는 다져서 버리지 말고 계란찜에 쓰자구~!', '#3 달걀 3개와 짜투리 파프리카 그리고 소금, 후추 밑간 살짝만 해서 달걀물 준비해줘~', '#4 달걀은 70프로만 부어줘~~ 왜냐면 달걀이 익으면서 위로 부풀기 때문에 백프로 채우면 흘러넘쳐ㅠㅠ 달걀 부운뒤 치즈도 찢어서 넣어줘!', '#5 달걀 익는지 확인할려면 이수씨개로 찔러본 뒤 묻어나오면 안익은거고 안묻으면 익은거얏!>_<', '#6 짜잔! 간단하면서도 근~사한 밑반찬 완성!>_< 아삭한 파프리카 안에 고소한 치즈와 달걀에 들어가 있으니까 넘나 맛나다ㅠㅠ', '#7 기호에 따라 안에 참치나 맛살을 넣어도 맛있을 것 같아!>_<']"
파프리카리조또컵,"['파프리카', '로제소스', '햇반', '닭가슴살', '양파', '모짜렐라치즈']","['#1 ', '#2 ', '#3 ', '#4 ', '#5 ', '#6 ', '#7 ']"
파프리카베이컨치즈구이,"['미니파프리카', '치즈', '베이컨', '스위트콘', '칠리소스', '파마산치즈가루', '파슬리가루']","['#1 안녕! 빵야~ 오늘도 어김없이 여러분의 입맛을 저격하는 마틸다가 왔어용 *_*', '#2 16학번 샌애긔...안녕? ★', '#3 (나도 천연기념물 같았던 때가 있었는데 ㅎ r....).gif', '#4 어서와 ~ 알콜은 처음이지? 이 언닌 혼맥을 할 경지에 이르렀다구웃!!!! (찡긋)', '#5 씁쓸한 마음은 역시 맥주 한 캔과 떨치는 게 최고지!오늘은 안주로 최고! 파프리카를 이용한 한입 파프리카배이컨 치즈구이를 소개할게요!', '#6 재료를 준비해요! 미니파프리카 8개, 스위트콘 5큰술, 칠리소스 1큰술, 파마산치즈가루 1작은술, 베이컨 8줄, 피자치즈 100g, 파슬리가루 약간', '#7 미니파프리카는 반으로 갈라 씨를 제거해 준비해요 ~', '#8 바로 요렇게! 이렇게 보니 귀여운 방울토마토 같기도... ? ', '#9 스위트콘에는 칠리소스와 파마산치즈가루를 솔솔뿌려 잘 버무려요 : )칠리소스가 없다구? 그럼 케찹을 이용해도 좋아요! ', '#10 베이컨은 파프리카 길이에 맞게 잘라 약불에서 달군 후라이팬에 노릇히 굽고~', '#11 파프리카 안에 베이컨 - 스위트콘 순대로 담아 내요 :D', '#12 그다음 치즈를 솔솔 뿌려 200도로 예열한 오븐에 8분 전후로 구워내면 완성! ', '#13 잠깐, 오븐이 없다구요? 약불에서 뚜껑을 덮고 치즈가 녹을 때까지 구워주면 되징 ~~ (찡긋)', '#14 파슬리가루를 솔솔 뿌려 내면 ★완 to the 성! ★', '#15 내 취향저격! 치즈가 쭈욱~늘어나 먹는 재미가 있다구!! ', '#16 칠리소스로 매콤! 스위트콘으로 달콤! 매달매달 ~ 계속 손이가는 레서피!여러분도 도전해보세요! 빵야~~~']"
쏘파볶음,"['소세지', '파프리카 3색', '굴소스', '미림']","['#1 오늘은 내가 쏘야보다 더 좋아하는 쏘파볶음을 해볼꺼야!', '#2 먼저 소세지는 그냥 해도 좋지만 열십자로 칼집을 내줘 문어 모양으로~', '#3 파프리카는 총 3가지 색깔을 이용헸고 먹기좋은 사이즈로 사각썰기 해줘', '#4 우선 식용유 약간에 소세지를 볶아주고', '#5 파프리카도 넣어줘! 여기서부터 센불로 볶아 볶아~', '#6 간은 굴소스로! 약 한큰술~두큰술 정도 넣으면 돼!', '#7 미림도 살짝만 넣고 볶아주면 완성!>_<', '#8 다 볶은 쏘파볶음에 깨도 솔솔 뿌려주면 더욱 더 먹음직 스러워 보인다구~', '#9 너무나 간단한 볶음요리! 반찬으로도 덮밥으로도 좋아서 추천추천!>_<']"
구운새우 월남쌈,"['청 파프리카', '양파', '오이', '새우']","['#1 안녕하세요, 해머거여러분? 캐나다에서 인사드리는 메이플대니얼이에요 :) 가끔은 음식을 푸짐히 만들어 접대하는 일이 큰 행복일 때가 있죠? 오늘은 모두가 모여 즐기기 좋은 구운새우 월남쌈 레시피로 함께합니다.', '#2 [3인분기준 필요한재료]적*홍**노 파프리카 각 1개씩,양파1개,오이1개,손질새우500g,레몬껍질1/2개분량,버터2T,후추1/3t,다진마늘1t,라이스페이퍼1패키지[땅콩소스만들기]피넛버터8T,맛술1T,꿀2T,소금1/2t,멸치액젓1T,물3T[T = 큰술,테이블스푼 / t = 작은술,티스푼]', '#3 먼저 채소는 0.2cm 두께로 슬라이스해서 접시에 돌려 담아둘게요.', '#4 피넛버터8T,맛술1T,꿀1T,소금1/2t,멸치액젓1T,물3T 이렇게 넣고 섞어 땅콩소스를 만들게요. 액젓이 없으신 경우 간장을 사용 해 주세요.', '#5 손질새우에 레몬껍질1/2개분량,버터2T,후추1/3t,다진마늘1t 이렇게 넣고 버무려주세요. 레몬껍질은 벗겨 다져주시거나, 제스터나 강판에 갈아 노란 부분만 사용할게요. 그리고 팬에 노릇하게 구워주세요.', '#6 이렇게 한데 푸짐하게 곁들여주시면 완성!', '#7 이렇게 다양한 채소에 새우를 라이스페이퍼 위에 놓고, 돌돌말아 소스에 콕~ 오늘도 맛있게 즐기세요!']"
계란볶음밥,"['밥', '계란', '파프리카', '3분짜장', '소금', '후추']","['#1 ', '#2 ', '#3 ', '#4 계란은 소금, 후추 간을 한 후 야채는 잘게 다져 준비해', '#5 계란은 곱게 푼 후 야채를 넣어 골고루 섞어주기!', '#6 그리곤 밥을 넣어 잘 섞어주라구!그리곤 전자렌지에 4분! 젓가락으로 찔러보았을 때 묻어나지 않으면 완성! ', '#7 데운 3분 짜장을 부어 완성! ', '#8 TIP) 이 요리는 AI스피커를 이용해 따라할 수 있어요']"
