recipe_title,recipe_source,recipe_step
,,
당근 전,"['당근', '부침가루', '달걀', '애호박', '물', '소금']","['#1 안녕하세요! 푸드텔러입니다 :)이번에는 아이들 간식에 좋은 당근전을 만들어 볼게요.', '#2 [1인 기준 재료] 당근 100g, 부침가루 150g, 달걀 1개, 물 50g, 애호박 20g, 소금 1/4작은술', '#3 당근은 잘게 토막썰고 애호박은 채썰어 준비해주세요.', '#4 당근과 물 50g을 넣고 믹서기로 갈아준 후', '#5 부침가루와 1/4작은술 정도 소금을 넣고 섞어주세요.', '#6 반죽에 애호박을 넣고 가볍게 섞은 후', '#7 팬에 기름을 넉넉히 두른 후 반죽을 올려 지져주면 완성!', '#8 야식으로, 아이들 간식으로 부담없는 당근전~ 도전해보세요.^^']"
갈릭크림소스 스튜,"['갈릭크림소스', '닭 안심', '감자', '양파', '당근', '양송이 버섯', '물', '버터', '소금', '후추']","['#1 ▶브랜드 : 컬리아트\x0b \x0b▶양념 종류 : 로스티드 갈릭 알프레도\x0b\x0b▶가격 : 5,850원(롯데마트/480g)\x0b\x0b▶사용법 : 파스타를 손쉽게 만들 수 있음\x0b\x0b▶재사용 방법 : 크림소스로 스튜만들기', '#2 안녕!\x0b나는 남은 양념을 한 방울도 남김없이\x0b사용하는 양념콜렉터예요~', '#3 갈릭크림파스타 소스가 남았는데 파스타를 또 해먹기에는 좀 지겨운 거 있죠?', '#4 그래서 오늘은 갈릭크림소스로 스튜를 만들꺼예요!!', '#5 [재료] 크림소스 1컵, 닭안심 100g, 감자 1개, 양파 ½개, 당근 1/3개, 양송이 4개, 물 2컵, 버터 약간, 소금 약간, 후추 약간', '#6 양파를 주사위 모양으로 썰어주세요.', '#7 당근도 주사위 모양으로 썰어주세요.', '#8 감자도 주사위 모양으로 썰어주세요', '#9 양송이는 4등분 해주세요.', '#10 닭 안심은 다른 재료들과 비슷한 사이즈로 썰어주세요.', '#11 냄비에 버터를 넣고 당근, 감자가 반정도 익을 때까지 볶다가 닭고기를 넣어 볶아주세요.', '#12 양송이, 양파를 넣어 볶아주세요.', '#13 물을 부어주세요.', '#14 크림소를 넣어주세요.', '#15 소스가 걸쭉해지면 소금과 후추로 \x0b간을 해서 완성해주세요.', '#16 후~후~ 불어 한입에 쏙~\x0b오~~ 맛이 꽤 좋은데???']"
계란말이 ,"['계란', '당근 (다진것)', '대파(송송썬것)', '소금', '식용유', '양파']","['#1 안녕하세요! 오늘은 계란말이 만드는법을 공개합니다!', '#2 재료를 준비해주세요.', '#3 먼저 계란을 깨서 그릇에 담아요! 노른자 하나 깨뜨렸네요 ㅎㅎㅎ', '#4 소금을 적당히 넣어야 맛이 나요! 저는 요만큼 넣었어요!~', '#5 야채는 대충 다집니다. 건더기가 클수록 고난이도의 계란말이가 되니 적당히다져주세요 ^^', '#6 까놓은 계란속에 사정없이 풍덩~!!! 수저로 폭풍 섞어줘용~', '#7 자 이제 부칠일만 남았습니다. 기름을 좀 넉넉히 부어주세용~', '#8 조금 달궈진 상태에서~ 처음에는 계란물을 4분의 1정도만 부어요!!! 꼭! 약불에 하세요!!', '#9 끄트머리를 쪼금 접고나서', '#10 접은 쪽으로 계란을 밀어주고', '#11 반대편에 계란 물을 다시 채우는 작업을 반복해주면 되용~~~', '#12 자세한 것은 사진으로 ㅋㅋㅋㅋ', '#13 ', '#14 이 과정을 계속 반복하다보면', '#15 계란물이 다 떨어지면 완성이에요 ^^', '#16 완젼 쉽죵?? ^^', '#17 중간에 조금 흐트러지더라도 절대 겁먹지 마세요~ 다시 계란물을 부어주면 구멍이 메워져요 ㅎㅎㅎ', '#18 마지막에는 잔열로 구석구석을 잘 익혀줘야해요~ 안그러면 속이 안익는 경우도 생기거든요~ 특히 옆구리를 잘 익혀줘야 나중에 썰때 안터져용 저는 주로 팬의 옆면을 이용해서 옆구리도 꼼꼼히 익혀줘요~', '#19 그리고 한 30초 ~ 1분 정도 뜨거운 채로 놔두세요 그래야 탄탄하게 익는답니다~ 완성이 되면 도마로 옮겨서 칼로 슥삭슥삭 썰어주면 끄읏~!!!', '#20 위에서 보면 두께를 모르겠죠? 옆에서 보면 요렇게나 두꺼워요 왕계란말이가 되었어요 ㅋㅋ 계란 4개의 위엄... ^ㅡ^', '#21 테스트 삼아 정 중앙을 썰어봅니당', '#22 잘익었어요~~~ 건더기가 클때는 잘게 썰면 다 터져요! 두껍게 숭덩숭덩 썰어줍니다 ㅎㅎ 김밥 써는것처럼요~', '#23 이제 예쁜 접시에 맛나게 담으면 끝이죠~~~ 전 사실 대충 담았네요 ㅋㅋ', '#24 큼직큼직 하네요 ^^ 양파가 아삭아삭 씹혀서 더 맛있어요 ㅎㅎ', '#25 계란은 언제나 맛있어요 ^^오늘의 요리 끝!!!!!']"
당근케이크,"['당근 (중간것)', '달걀', '소금', '우유', '핫케이크가루', '포도씨유', '견과류', '계피가루', '크림치즈', '슈가파우더', '레몬즙(or식초)']","['#1 요즘 오븐을 이용한 맛있는 레시피가 많기는 하지만 시도해보기엔 아직 부담스러운 분들.. 계시죠?^^ 거의 뭐.. 프라이팬, 냄비 수납용 찬장으로 사용하시는 분들도 꽤 계실 듯 ㅋㅋ 오늘은 오븐없이 만드는 밥솥 케이크를 소개할께요.', '#2 [필수재료] 당근(중간 것 1개=3컵 분량), 달걀(3개=150g), 소금(⅛큰술), 우유(1컵=200ml), 핫케이크가루(1봉=400g), 포도씨유(3큰술), 다진 견과류(⅔컵)[선택재료] 계피가루(½큰술)[크림] 크림치즈(1통=200g), 슈가파우더(½컵=100ml), 레몬즙 또는 식초(1큰술)', '#3 당근은 채 썰어요.Tip! 채 칼을 이용하면 편해요.', '#4 볼에 달걀과 소금(⅛큰술)을 넣고 잔거품이 생길 정도로 곱게 푼 뒤 우유와 포도씨유를 넣고 섞어요.', '#5 핫케이크가루와 계피가루를 넣고 마른 가루가 없을 정도로 섞은 뒤 다진 견과류와 계피가루를 넣고 섞어요.Tip! 핫케이크가루와 계피가루는 체에 밭쳐 넣으면 덩어리없이 곱게 풀어져 섞기 좋아요.', '#6 포도씨유(약간)를 얇게 펴 바른 전기 밥솥에 반죽을 넣고 50~60분간 취사 또는 만능찜 기능을 사용하여 익혀요. Tip! 나무꼬치로 반죽 속을 찔러서 뺐을 때 젖은 반죽이 묻어나지 않으면 속까지 잘 익은거에요.', '#7 케이크는 밥솥에서 꺼내 한김 식혀요.', '#8 크림치즈는 미리 상온에 30분 정도 두어 말랑하게 준비해요.', '#9 말랑한 크림치즈와 슈가파우더, 레몬즙 또는 식초를 넣고 고루 섞어 크림을 만들어요.', '#10 오븐 없이 만드는 당근 케이크 완성!! 아이는 물론 어른 입맛에도 잘 맞아 선물용으로 좋아요^^']"
당근칩과 양파딥소스,"['당근', '양파', '플레인요거트', '마요네즈', '레몬즙', '올리브오일', '쌀가루', '소금', '후추']","['#1 ', '#2 ', '#3 ', '#4 ', '#5 ', '#6 ', '#7 ', '#8 ', '#9 ', '#10 ', '#11 ', '#12 ']"
감자치즈당근볼,"['감자', '당근', '아기용저염슬라이스치즈']","['#1 감자를 작게 썰어 당근과 함께 삶아준다.', '#2 삶은 당근은 잘게 다져준다.', '#3 감자가 따뜻할 때 모든 재료를 넣고 잘 섞은 후 한입 크기로 작게 빚어 완성']"
단호박당근전,"['단호박', '당근', '부침가루', '설탕', '소금']","['#1 안녕하세요. 푸드텔러 입니다. :)이번에는 건강한 한식 디저트인 단호박 당근 전을 만들어 볼게요.', '#2 단호박 小 1개, 당근 1/2개, 부침가루(또는 밀가루나 전분) 1컵, 설탕, 소금', '#3 단호박과 당근은 껍질과 씨를 제거하고 익기 쉬운 크기로 토막 썰어 주세요.', '#4 전 위에 올릴 장식용도 준비해주면 좋겠죠?', '#5 냄비에 단호박, 당근을 넣고 물을 자작하게 부어 10분 정도 삶아주세요.', '#6 믹싱볼에 건더기만 건져 으깨주세요.', '#7 부침가루(또는 밀가루나 전분) 1컵을 넣고 섞어주세요.단호박이 충분히 달면 설탕, 소금은 안 넣어도 된답니다.', '#8 팬에 기름을 넉넉히 두르고 앞뒤로 지져주면 끝! ', '#9 고소하고 달달한 단호박 당근 전 완성!']"
완자채소조림,"['소고기 갈은거', '감자', '당근', '양파', '표고 버섯', '물', '간장,미림']","['#1 ', '#2 ', '#3 ', '#4 ', '#5 ', '#6 ', '#7 ']"
초계탕,"['닭', '통후추', '마늘', '월계수잎', '대파', '설탕', '식초', '소금', '겨자', '파프리카', '양배추', '오이', '당근', '깨']","['#1 냄비에 닭과 대파, 통후추, 통마늘, 월계수잎, 믈을 넣고 닭을 익혀 준다', '#2 닭고기가 익으면 체에 걸러 육수는 냉장실에 식혀주고 닭은 살을 발라 준다.', '#3 육수에 겨자, 설탕, 소금을 넣어 잘 섞어준다.', '#4 양파, 당근, 양배추, 파프리카, 오이는 채 썰어 준다', '#5 그릇에 먹기 좋게 재료들을 담고 육수를 부어 완성해준다']"
