recipe_title,recipe_source,recipe_step
,,
크림 닭가슴살 스테이크,"['닭 가슴살', '양송이 버섯', '생크림', '우유', '버터', '다진마늘', '후추', '소금', '레드와인']","['#1 재료소개', '#2 1.수비드 머신을 셋팅 합니다. 물을 담은 냄비에 수비드를 설치하고 온도를 65.5로 맞쳐줍니다', '#3 2 .닭 가슴살을 앞뒤로 소금 후추 간 해줍니다. 간을 한 닭가슴살을 진공팩에 넣어준뒤 냄비에 넣어서 3시간정도 놔둡니다.', '#4 3. 양송이를 키친타올로 닦아주고 꼭지를 제거 합니다. 버섯은 물로 씻으면 향이 날라가고 맛이 떨어진다고 합니다. 잘 닦은 양송이를 큼직하게 슬라이스 해줍니다.', '#5 4. 가스렌지에 팬을 올리고 버터 마늘 양송이 순으로 넣어줍니다.', '#6 5. 양송이가 숨이 어느정도 죽으면 레드와인을 150ml 넣어줍니다. ', '#7 7. 닭 가슴살이 잘 익었는지 확인해 줍니다.', '#8 8. 농도가 살짝 나면 다 삶아진 닭가슴살을 넣고 졸여줍니다.  ', '#9 9. 졸인 닭가슴살과 크림을 그릇에 담아주면 끝!!']"
빠에야,"['쌀', '닭 다리살', '애호박', '새송이 버섯', '토마토', '방울토마토', '양파', '마늘', '홍새우', '바지락', '오징어몸통', '레몬', '파슬리', '강황가루', '파프리카가루', '샤프란', '올리브유']","['#1 1. 양파, 마늘, 애호박, 버섯, 방울토마토, 닭고기, 오징어는 잘라 준비한다', '#2 2. 달군 팬에 올리브유를 두르고 닭고기에 소금, 후추 간을 하여 금빛이 나게 굽는다.', '#3 3. 2에 자른 양파와 마늘을 넣어 볶다가 갈은 토마토를 넣어 졸인다.', '#4 4. 새우머리를 넣어 익힌 후 건져내고 강황가루, 파프리카가루, 샤프란을 넣어 섞는다.', '#5 5. 재료가 잘 섞이면 생쌀을 넣어 볶다가 고르게 핀 후 치킨육수를 쌀이 잠길 정도로 넣고 끓기 시작하면 불을 약불로 줄인다.', '#6 6. 바지락, 애호박, 버섯, 방울토마토, 새우살, 오징어를 토핑으로 올린다.', '#7 7. 육수가 졸아들면 조금씩 보충하고 쌀이 어느 정도 익으면 불을 가장 약하게 한 뒤 호일을 뚜껑처럼 덮어 약5분간 뜸을 들인다.', '#8 8.  빠에야 위에 새우머리와 다진파슬리, 레몬을 올려 마무리한다. ']"
삼계리조또,"['9호 닭', '삼계탕티백', '바질말린것', '펜넬씨', '버터', '양파', '찹쌀', '소금', '후추']","['#1 ', '#2 안녕하세요 여러분 이맥남입니다 :)드디어 새해의 아침이 밝았네요! (쓰는 시점은 31일 ..!)저는 올해 만큼 빠른 일년이 없었던 것 같아요! 그래서 내년은 더욱 더 좋은 일만 가득하자는 의미에서 든든한 음식 가지고 왔습니다!', '#3 오늘 만들 요리는 삼계탕이 들어간 리조또! ‘삼계 리조또’입니다! 한식 + 양식의 조합은 매번 새롭고 아주 맛있답니다 :)만들기 어렵지 않으니 도전해보세요! 또한 이번 레시피는 삼계탕을 그대로 드시고 그 다음에 남은 국물로 죽 해듯이 드시기도 편하니 \x0b꼭 한번 도전해보시길 바랄게요!', '#4 재료는 재료란을 참고해주세요!', '#5 닭은 깨끗이 씻어서 삼계탕 티백, 바질, 펜넬씨와 함께 약 3-4리터의 물과 함께 팔팔 끓여주세요! 한국 식 향신료(삼계티백) + 서양식 향신료(바질+펜넬씨)의 조합이 아주 괜찮더라구요! \x0b서양식 향신료는 따로 구매하지 마시고 없으시면 안 넣으셔도 됩니다! 있으시면 상황에 맞게 넣어주세요 :)', '#6 그렇게 약 1시간 정도 푸욱 우려내주세요! 그런 다음 닭은 따로 다른 그릇에 담아주시고 티백은 버려주세요!', '#7 그런 다음 양파는 아주 잘게 다져주세요!', '#8 찹쌀은 깨끗이 씻어 물에 약 10~20분 정도만 불려주세요', '#9 그런 다음 팬에 버터를 두르고 양파를 볶아주세요', '#10 양파가 어느 정도 익어 갈 쯤에 찹쌀을 넣고 같이 볶아주세요! 약 5분 정도만 같이 볶아주면 된답니다 :)', '#11 그리고 아까 만들어 뒀던 삼계탕 육수를 넣어서 중불에서 살짝 눌러 붙지 않을 정도로만 저어가면서 끓여주세요! \x0b그렇게 물이 졸아들면 다시 육수를 넣어서 이렇게 3번 넣어주시면 경험상 딱 적당히 익습니다 :)', '#12 사진 처럼 물기가 어느정도 마르고 간을 보았을 때 쌀이 무르지 않고 중간에 살짝 힘이 있는 정도가 제일 좋습니다 :)|\x0b이 때 소금간을 해주세요!', '#13 그런 다음 그릇에 담고 아까 익힌 닭을 올려주시면 됩니다! 저는 딱 반으로 잘라서 올려주었어요! \x0b그리고 이 때에 후추를 솔솔 뿌리고 파슬리를 뿌려주시면 완성이예요! (파슬리는 취향대로 뿌려주세요!)']"
닭가슴살 버섯볶음,"['닭 가슴살', '양송이', '표고버섯', '느타리 버섯', '깻잎']","['#1 안녕하세요. 푸드텔러 입니다. :)이번에는 닭가슴살과 모듬버섯으로 간단한 밑반찬을 소개해볼게요.', '#2 [1인 기준 재료] 닭가슴살 100g, 양송이 2개, 표고버섯 1개, 느타리버섯 50g, 깻잎 6장[양념] 소금 1/6작은술, 후추 1/8작은술, 굴소스 1/4큰술, 깨 1/4큰술, 참기름 1/2큰술', '#3 양송이와 표고는 키친타올로 먼지를 털어주거나 물로 씻은 후 편 썰고, 느타리 버섯은 낱개로찢어주세요.', '#4 깻잎은 돌돌말아 채썰고, 닭가슴살도 채썰거나 편썰어주세요.', '#5 팬에 오일을 조금 두르고 닭가슴살을 볶다가 소금과 후추로 약간 간을 해주고', '#6 버섯은 수분이 나올때까지 약한불에서 볶다가 소금, 후추로 간을 해주세요.', '#7 마지막에 굴소스를 넣고 섞어주듯 볶은 후', '#8 깻잎을 넣고 한숨만 죽도록 볶아주면 끝!', '#9 깨와 참기름을 살짝 뿌려주면 완성! 참 쉽죠?^^']"
닭가슴살버섯샐러드,"['닭 가슴살', '버섯', '어린잎채소', '토마토1개', '다진양파', '다진마늘', '간장', '식초', '올리고당', '올리브유', '마늘', '소금']","['#1 앨샘입니다! 다이어트 중에 같은 샐러드라도 드레싱을 바꾼다던지 예쁜 그릇에 담아 먹으면 기분이 업되는것 같아요.오늘은 간단한 닭가슴살샐러드를 예쁘게 담아 먹어봐요^^', '#2 2인분 / 25분필수 재료닭가슴살 1쪽=120g, 버섯(표고, 양송이, 새송이, 느타리 등) 2줌, 어린잎채소 1줌, 토마토 1개오리엔탈드레싱다진 양파 4큰술, 다진 마늘 1/2큰술, 간장 1큰술, 식초 1큰술, 올리고당 1큰술, 올리브유 2큰술양념마늘 1/2큰술, 소금 약간, 후춧가루 약간', '#3 1. 오늘은 양파를 넉넉히 넣고 씹는 식감을 살린 드레싱을 만들어볼께요!드레싱 재료 : 다진 양파 4큰술, 다진 마늘 1/2큰술, 간장 1큰술, 식초 1큰술, 올리고당 1큰술, 올리브유 2큰술', '#4 2. 버섯은 한입 크기보다 약간 크게 썬 뒤 센 불로 달군 팬에 올리브유(1 1/2큰술)을 두르고 버섯을 올려 소금(약간), 후춧가루(약간)을 뿌려가며 볶아 건져요.', '#5 3. 한 입 크기로 썬 닭가슴살은 밑간(올리브유 1큰술, 소금 약간, 후춧가루 약간, 다진 마늘 1/2큰술)에 버무려 팬에 구워요.', '#6 4. 그릇에 닭고기와 버섯, 어린잎채소, 토마토를 담은 뒤 드레싱을 곁들여 마무리.Tip - 저염식을 하는 분들이라면 드레싱 자체만으로도 간이 충분하니 닭고기와 버섯에 별도의 소금 간은 생략해도 좋아요^^!']"
삿포로식카레스프,"['닭 정육', '대파', '새송이버섯', '표고 버섯', '느타리버섯', '팽이버섯', '각종야채', '카레가루혹은큐브', '육수용재료', '맛술', '소금후추']","['#1 ', '#2 안녕하세요 해머거 여러분! 이맥남입니다 :)작년까지만 해도 많이 보이지 않았던 홈파티가 요즘은 정말 많아요!\x0b저도 홈파티를 정말 좋아하는데! 특히 홈파티는 연말 홈파티죠?그래서 오늘은 홈파티에서 먹기 좋은 빠질 수 없는! 뜨거운 국물 요리를 준비했습니다 :)', '#3 오늘만들 요리는 삿포로식 카레스프예요! 사실 삿포로에가서 먹어본 적은 없지만 ..똑같진 않아도 느낌은 살리면서 간단하게 따라하겠더라구요! 걸쭉해서 밥에 비벼먹는 카레가 아닌 스프 처럼 묽게 만들고 씹히는 것들이 많은나베 스타일 카레예요! 너무나 맛있어서 개인적으로 한번 더 해먹으려구요 !', '#4 닭 정육이 제일 좋지만 없다면 돼지고기나 소고기, 혹은 닭안심 이나 닭가슴살도 좋습니다! 야채는 취향 대로 넣어주세요! 저는 파하고 닭고기 그리고 여러 종류의 버섯을 넣었어요! 당근, 감자, 고구마나 호박같이 단단한 야채도 좋을 것 같습니다 :)', '#5 물에 육수용 재료를 넣고 팔팔 끓여 꽤나 진한 육수를 만들어 주세요! 육수용 재료는 상황대로 사용하시면 됩니다! (다시마, 멸치, 말린황태, 가쓰오부시, 대파뿌리, 양파, 무우, 치킨스톡 등등)', '#6 닭 정육은 처음부터 한입 크기로 자르지 않고 길게 잘라주세요! 이렇게 해야 굽다가 한입 크기로 자르기 편하답니다 :) 맛술이 있으시다면 맛술 2 큰술과 소금후추를 넣어서 한번 2-30분 재워주세요!', '#7 버섯은 먹기 좋게 손질해주세요! 팽이 종류를 빼면 한번 구울거라 너무 작게 자르지 말아주세요!', '#8 대파는 단단한 흰 부분은 구울 거라서 큼직하게 잘라주시고 끝 초록색인 부분은 잘게 채썰어주세요', '#9 계란은 물에 반쯤 잠기게 넣어서 끓고 부터 6분 삶아 준 다음 차가운 물에 넣어서 껍질을 까서 준비해주세요!', '#10 그리고 팬에 기름을 약간 두르고 중간불에서 은근히 겉이 노릇노릇해지게 버섯, 파를 구워주세요! 센불에서 구우면 그냥 타기만하고 맛있게 익질 않아요!', '#11 그리고 닭고기도 기름을 약간만 두르고 겉 부분이 노릇하게 구워서 한입 크기로 잘라주세요!', '#12 그리고 미리 준비한 육수에 카레가루 혹은 카레큐브를 넣어서 간을 맞춰주세요! 걸쭉하게 말고 묽은 상태를 유지하면서 간을 봐주세요! 부족한 간은 소금후추로 마무리해주시구요! 전 카레큐브 3큐브 넣어줬습니다!', '#13 그런 다음 미리 노릇노릇하게 구워놓은 재료를 넣고 한번 팔팔 끓여주세요!', '#14 그런 다음 그릇에 담은 다음 미리 준비한 채썰은 파와 계란을 올리고 마무리해주세요!', '#15 건더기가 아주 든든한 카레맛 스프!뜨끈한것이 뚝배기 같은 곳에 끓이면서 먹어도 너무 좋을 것 같아요 :)이번 연말 홈파티에는 뜨끈한 삿포로식카레스프 어떠세요! 이맥남이였습니다 :)']"
닭 전골,"['닭 중간크기', '삼계한방팩', '인삼', '물', '새송이 버섯', '팽이버섯']","['#1 #보양식 #원기충전레시피 #닭요리더위가 끝날 줄 모르고 지속되는 계절 여름,자꾸만 몸에 힘이없고 기력이 떨어지신다구요?한방의 영양과 닭의 기운이 한냄비에!전골로 즐기는 건강한 보양식 레시피로오늘 여러분과 함께합니다!', '#2 [3인기준 필요한재료]닭한마리(중간크기),삼계한방팩1개,인삼1뿌리,물1.5L,새송이버섯1개,팽이버섯1/3팩,매운고추반줌,통마늘한줌,부추100g,쪽파2뿌리,소금후추 약간', '#3 먼저 한방팩과 인삼, 그리고 칼칼한 맛을 더하기 위해고추를 넣고 15분간 우려 기본 한방육수를 만들어주세요.+Tip: 육수용 매운 고추를 넣으시면맛에 개운함이 더해져 전골이 느끼하지 않아요!', '#4 닭고기는 통마늘 반줌과 후추 넣고 10분간 삶아이물질을 제거해 깔끔하게 준비할게요.', '#5 데친 닭고기에 우려낸 한방육수를 넣고중불에서 조리를 시작할거에요.', '#6 그리고 고추를 제외한 나머지 한방재료는 다시 넣어주세요.남은 통마늘도 이때 넣고 40분간 중불에서 계속 끓여주세요.', '#7 맛있는 닭전골이 만들어지는 사이,채소는 기호에따라 추가하여 먹기 좋게 손질해서 준비할게요.', '#8 제대로 우러난 육수와 닭은 전골냄비에 담고준비한 채소 얹어 끓여가며 드시면맛도 좋은 보양식 한방 닭한마리전골 완성!']"
닭다리스테이크,"['닭 다리살', '샐러리대', '통마늘', '파슬리', '화이트와인', '버터', '방울토마토', '밀가루', '올리브오일']","['#1 안녕하세요 여러분~! 꽃바람 하쿠예요~!', '#2 오늘도 어김없이 올리브쇼를 보던 중,', '#3 최현석 셰프님께서 오~!와~! 소리나게만들어 주신 닭다리스테이크!', '#4 하쿠와 함께 만들어 보아요!', '#5 재료닭다리살 2개/샐러리대 1개/통마늘 3개/파슬리 한스푼화이트 와인 1컵/버터 한스푼/방울토마토 6개/밀가루 한스푼/올리브오일(향이 진하지 않은 오일) 3스푼', '#6 마늘과 샐러리대를 채썰어 주세요!', '#7 손질된 닭다리에 샐러리,마늘,소금,후추로 마리네이드 30분이상 해주세요!', '#8 방울토마토는 4등분 해주세요!', '#9 30분이상 마리네이드 된 닭고기는 밀가루에 묻혀주세요!', '#10 향이 진하지 않은 올리브오일을 두르고닭다리를 올려주세요!', '#11 이게 바로 오~와~! 소리나는 닭다리의 자태,,!', '#12 어느정도 구워지면 화이트와인을 부워 주시고,알콜이 날라가는 걸 본 후 방울토마토와 버터를넣고 끓여주세요!', '#13 넘나 먹고싶은 것,,,! 얼른 익어라!!', '#14 예쁘게 접시에 플레이팅 해주면 완성!부드러운 닭다리스테이크 완성!', '#15 이렇게 이렇게 썰어서 냠!', '#16 최현석 셰프님은 사랑입니다...!그럼 다음엔 더 유용한 요리로 올게요!안녕!']"
갈릭크림소스 스튜,"['갈릭크림소스', '닭 안심', '감자', '양파', '당근', '양송이', '물', '버터', '소금', '후추']","['#1 ▶브랜드 : 컬리아트\x0b \x0b▶양념 종류 : 로스티드 갈릭 알프레도\x0b\x0b▶가격 : 5,850원(롯데마트/480g)\x0b\x0b▶사용법 : 파스타를 손쉽게 만들 수 있음\x0b\x0b▶재사용 방법 : 크림소스로 스튜만들기', '#2 안녕!\x0b나는 남은 양념을 한 방울도 남김없이\x0b사용하는 양념콜렉터예요~', '#3 갈릭크림파스타 소스가 남았는데 파스타를 또 해먹기에는 좀 지겨운 거 있죠?', '#4 그래서 오늘은 갈릭크림소스로 스튜를 만들꺼예요!!', '#5 [재료] 크림소스 1컵, 닭안심 100g, 감자 1개, 양파 ½개, 당근 1/3개, 양송이 4개, 물 2컵, 버터 약간, 소금 약간, 후추 약간', '#6 양파를 주사위 모양으로 썰어주세요.', '#7 당근도 주사위 모양으로 썰어주세요.', '#8 감자도 주사위 모양으로 썰어주세요', '#9 양송이는 4등분 해주세요.', '#10 닭 안심은 다른 재료들과 비슷한 사이즈로 썰어주세요.', '#11 냄비에 버터를 넣고 당근, 감자가 반정도 익을 때까지 볶다가 닭고기를 넣어 볶아주세요.', '#12 양송이, 양파를 넣어 볶아주세요.', '#13 물을 부어주세요.', '#14 크림소를 넣어주세요.', '#15 소스가 걸쭉해지면 소금과 후추로 \x0b간을 해서 완성해주세요.', '#16 후~후~ 불어 한입에 쏙~\x0b오~~ 맛이 꽤 좋은데???']"
