recipe_title,recipe_source,recipe_step
,,
키스틱 식빵 핫도그,"['식빵', '키스틱크림치즈롤', '계란', '빵가루']","['#1 오늘은 완전 간단한 재료랑 간단한 방법으로 명랑핫도그 버금가는 키스틱 식빵 핫도그를 만들어보았다.', '#2 안에 넣을 소세지로는 키스틱 크림치즈롤을 골랐다. 이번에 출시된 키스틱 크림치즈롤은 기존 크기 뿐만 아니라 미니 소세지도 있다. 큰 거 작은 거 둘 다 넣어볼거임', '#3 키스틱 크림치즈롤은 흰 생선살로 만든 연육 소세지 안에 크림치즈가 통째로 들어간게 특징이다. 길다란 크림치즈를 연육이 감싸고 있어서 핫도그 같기도 하다.핫도그 안에 핫도그 (?)', '#4 먼저 식빵 테두리를 잘라주고 납작하게 밀어준다.우유 식빵이 부드러워서 최고임', '#5 식빵에 미니 소세지와 소세지를 통째로 넣고 돌돌 말아준다. 이 때 큰 소세지가 빼꼼 튀어나오는게 매력이다.아 식빵 끝에 계란 물을 살짝 발라주면 고정하기 쉬움', '#6 빵가루와 계란물을 묻혀주고', '#7 에어후라이기에 가지런히 눕혀주면 준비 끝', '#8 200도에 맞춰주고 10분간 얌전히 기다렸다.5분 돌리고 한번 뒤집은 다음 또 5분 돌려주면 노릇노릇 잘 탄다 !', '#9 뽀잉 크림치즈 ㅎㅇ찍어먹을 소스는 취향껏 준비하면 되는데 개인적으로 돈까스 소스가 최고였다.', '#10 치즈랑 어육 소세지 조합은 생소했는데 느끼하지도 않고 진짜 맛있었다. 특히 빼꼼 나온 소세지가 에어후라이기에 들어갔다 나오니까 처음 먹어보는 식감에 놀람친구들 불러놓고 자랑하고 싶을 정도로 맛있다.']"
치즈폭포 계란말이,"['계란', '스트링치즈', '체다치즈', '대파', '소금']","['#1 1. 먼저 파를 잘게 다져주세요.  ', '#2 2. 볼에 계란 4개를 깨트려 넣고, 다져놓은 파와 소금 1/2 작은술을 넣어서 섞어주세요.', '#3 3. 스트링 치즈와 체다치즈를 포장을 벗겨 준비해 주세요. ', '#4 4. 달궈진 팬에 기름을 두르고, 준비해 놓은 계란물 1/3을 먼저 부어주세요.  ', '#5 5. 어느정도 익으면, 한쪽에 치즈를 올리고 반으로 접어주세요.', '#6 6.  반대쪽으로 밀어놓은 후, 계란물을 조금씩 더 부어주세요. 그리고 다시 말아주세요. ', '#7 7. 식용유와 계란물을 붓고 뒤집는 것을 5~6회 가량 반복합니다.', '#8 8. 마지막으로 모양을 잡아주고 그릇에 담으면 완성!']"
초간단 순두부계란국,"['순두부', '계란', '쪽파', '국간장', '소금', '다진마늘', '해물다시팩', '진간장', '고춧가루', '설탕', '다진마늘', '깨', '청양고추']","['#1 쪽파를 송송 썰어주세요. 청양고추도 잘게 다져주세요.', '#2 간장 반컵+설탕 1작은술+고춧가루 1큰술+다진마늘 1/2큰술 넣어주세요. 쪽파와 깨도 넣고 양념장을 만들어 주세요.', '#3 계란 2알을 볼에 깨뜨려서 풀어주세요.', '#4 물 800ml에 해물다시팩을 넣고 끓여주세요.', '#5 육수가 우러나면 다시팩을 건져내고, 국간장 1큰술, 소금 1/2작은술, 다진마늘 1큰술을 넣어주세요.', '#6 국물이 끓어오르면 순두부를 넣고 적당한 크기로 쪼개 주세요. 풀어둔 계란은 채에 걸러 넣어주세요.', '#7 쪽파를 듬뿍 넣어 마무리 해주시면 완성!']"
푸딩처럼 부드러운 계란찜,"['계란', '대파', '새우', '가쓰오부시', '소금', '맛술']","['#1 1. 물 200ml에 가쓰오부시 한 줌을 넣고 1시간 정도 우려주세요.', '#2 2. 고명으로 올릴 파를 송송 썰어주세요. ', '#3 3. 계란 2개를 깨뜨린 후 잘 풀어주세요. 소금, 맛술, 설탕을 넣어주세요.  ', '#4 4. 우려낸 가쓰오부시 육수를 채에 걸러 넣어주세요.', '#5 5. 잘 썩은 계란물을 채에 한 번 더 걸러주시고, 그릇에 부어주세요. 거품은 제거해 주세요.', '#6 6. 냄비 뚜껑에 맺힌 물방울이 들어가지 않도록 랩을 씌워주세요. ', '#7 7. 물을 1/3정도 채운 냄비에 찜판을 넣고 계란물이 담긴 그릇을 올려주세요. 김이 오를 때까지 센불에서 2분, 약불로 8~10분 익혀주세요.', '#8 8. 계란이 쪄지는 동안 고명으로 올릴 새우를 데쳐주세요.', '#9 9. 계란이 다 쪄지면 고명을 올리고 1분 정도만 더 쪄주면 완성!']"
버터계란밥,"['즉석밥', '계란', '진간장', '소금', '버터무염']","['#1 재료준비', '#2 그릇에 계란 2알과 소금을 넣고 잘 풀어주세요. ', '#3 즉석밥을 전자렌지에 데워주세요. 데워진 밥을 그릇에 담고 진간장+버터를 넣어주세요.', '#4 달궈진 후라이팬에 식용유를 두르고, 계란을 부어주세요. 저어가며 익혀주세요.', '#5 밥 위에 계란을 올려주세요. ', '#6 버터를 한조각 올려주세요.', '#7 완성!']"
야채 계란찜 프리타타,"['계란', '아이스플랜트(바라후)', '베이컨', '양파小', '칵테일새우', '고구마小', '단호박', '방울토마토', '올리브', '가지고추', '생크림', '빵가루', '파르메산치즈', '치즈']","['#1 완전 식품 계란에 여러가지 부재료를 넣어 취향껏 가볍게 튀겨 구어 만드는 이탈리아식의 오믈렛? 계란찜? 프리타타입니다.', '#2 나이브 사막이 원산지인 신기한 기능성 채소 아이스 플랜트 바라후! 건조한 사막에서 사는 특성상 염분을 빨아 들여 축적해 자생하는 의지의 식물입니다.', '#3 와우 손대면 톡~ 하고 터질것만 같은♪♬♩♪ but , 절대 터질듯이 터질듯이 터지지 않는 .. (썰렁) 베타카로틴,레티놀, 비타민 K등 우리 몸에 좋은 성분이 풍부한 아이스플랜트 바라후는 가공과정을 거치지 않은 자연의 짠맛으로 별도로 소금을 가미하지 않아도 좋으니 염분량을 줄일수 있는 진정 건강 식재료 인듯요', '#4 재료를 준비합니다. 후아  아이스플랜트 (바라후), 베이컨 , 양파', '#5 아이스플랜트 (바라후)', '#6 삼색방울토마토 , 가지고추 ,그린올리브', '#7 칵테일새우 , 블랙올리브, 고구마 , 단호박! 오늘 역시도 암예방 컬러푸드 2탄!아주 멀티컬러~ 끝내 줍니다.', '#8 따로 기름 필요 없이 베이컨 자체 기름 만으로도 충분^^ 양파 함께 볶아주다 마지막 불을 끈후 남은 열로 흐르는 물에 살짝 씻은 아이스플랜트(바라후)를 남은 열로 살며시 숨죽여 주세요', '#9 삼색 토마토와  가지고추 올리브도 함께 볶아 주시고요 ^^ 수분이 조금 빠진 정도 만큼만 ~~열을 가해 주세요', '#10 고구마와 단호박은 껍질 벗겨 렌지에 강으로  5분정도 돌려 80% 익혀 주시고새우는 살짝 데쳐 올리브와 함께 ^^', '#11 그위에 빵가루 뿌려 주시고 치즈도 솔솔 뿌려 주세요 ^^ 요기에 모짜렐라 치즈 듬뿍 넣어 구우면 아이스 플랜트 피자, 고구마 피자, 새우피자, 토마토 피자입니다.', '#12 아이스 플랜트 (바라후) 에 흰꽃이 핀듯.. 기대되는 비쥬얼이네요 ^^', '#13 계란물 잘 풀어 생크림과 함께 부어 주면 마무리 ^^ 생크림이 없다면 ~ 크림 파스타 소스도 고소하니', '#14 160 ° 에서 25분 정도 겉 표면에 야채가 먼저 타버리지 않게 유산지 덮고 오븐에서 구워 주세요 프라이팬에서 약불로 앞뒤 익혀 주셔도 관계없구요 에어 프라이기로도 훌륭한 요리가 되네요', '#15 계란찜 ~ 참 럭셔리 해졌어요 ^^ 이탈리아 요리 프리타타 ~ 완성 되었네요 4가지 맛중 어느맛이 좋을지 애플 민트 하나 올려 놓고 두근 거리는 시간', '#16 정말 최고의 맛 인정 ^^ 프리타타 속재료로 많이 쓰이는 시금치가 수분을 먹으면 질겨지며 끊어지지 않거든요 ~ ㅋ 근데 요 녀석은  입안에서 부드러우며 여전한 볼륨감의 텍스쳐! 소금 후추 간 없이도 밑간 해둔듯한 진한 맛!']"
달걀 범벅,"['팽이버섯', '오이', '청양고추', '후랑크햄', '계란']","['#1 오늘 점심엔 간단하게 반찬 하나 놓고 먹을 수 있는 메뉴, 달걀범벅을 만들어 볼까 합니다!!', '#2 오늘 점심엔 간단하게 반찬 하나 놓고 먹을 수 있는 메뉴, 달걀범벅을 만들어 볼까 합니다!! 신동엽, 성시경님이 진행하는 오늘 뭐 먹지에 나왔던 대박 닭볶음탕집사장님께서 알려준 레시피죠!!ㅎㅎ 대학가에서 인기가 많다고 하니 저희 입맛에도 잘 맞을 것 같아 해 보았답니다!!ㅋㅋ', '#3 팽이버섯은 잘 씻어서 반으로 잘라주었어요~~', '#4 고명으로 올릴 오이도 채썰어 준비했구요~~', '#5 간간히 매콤한게 씹히며 식욕을 자극하니깐 청양고추도 2개 썰었어요!!', '#6 햄과 소세지를 넣지만 시골댁은 존슨빌 소세지만 넣을거에요!!', '#7 이렇게 재료 준비는 끝이에요!!', '#8 팬을 달군 후 기름을 넣었어요!!', '#9 그리고 오이를 뺀 나머지 재료들을 넣고 잘 볶아주세욤!!', '#10 잘 볶아졌으면 계란 4개를 깨뜨려 올렸어요!!', '#11 노른자만 터뜨려주세요~~', '#12 계란이 익었으면 접시에 담아주세요~~', '#13 케첩으로 자신의 스타일에 맞게 그림 그려주세욤~~ 거의 막바지 케첩이라 예쁘게 선이 안 나오네욤~~전 똑같이 별모양으로 그리고 오이를 살짝 올려주었답니다!! 참 쉽고 간단하지요~~ 하지만 맛은 밥반찬으로 딱이네욤!!팽이버섯의 쫄깃한 식감과 소세지의 짭쪼름하면서 하나씩 씹히는 매콤함, 마무리는 상큼한 오이와 케첩의 조화가 환상적이에욤~ㅋㅋ']"
두부계란전,"['두부', '계란', '다진마늘', '소금']","['#1 두부계란전동영상링크♥ https://youtu.be/cY3HfHs-g7k', '#2 오늘의 한그릇#1_두부계란전', '#3 재료', '#4 키친타올로 두부의 물기를 제거해 주세요.', '#5 칼등으로 두부를 으깨주세요.', '#6 으깬 두부에 계란 2개를 깨드리고,', '#7 다진마늘 1큰술& 소금 4~5꼬집을 넣어주세요.', '#8 재료들을 잘 섞어주세요.^^', '#9 후라이팬에 식용유를 두르고', '#10 적당한 크기로 부쳐주세요.', '#11 불 세기는 중불로 해주세요.', '#12 불 세기는 중불로 해주세요.', '#13 맛있는 두부계란전 완성! :)', '#14 오늘 하루도 건강한 집밥 챙겨드세요!구독링크♡ http://bit.ly/2QnUGbz동영상링크♥ https://youtu.be/cY3HfHs-g7k']"
스카치에그,"['구운란', '다진쇠고기', '다진돼지고기', '다진양파', '다진마늘', '계란물', '빵가루', '소금', '후추']","['#1 고소하고 담백한 구운란!', '#2 다진 고기, 양파, 마늘, 소금, 후추를 넣고 반죽해 구운란을 감싸준다.', '#3 계란물-> 빵가루 순으로 묻혀 기름에 튀겨내 완성']"
