recipe_title,recipe_source,recipe_step
,,
감자볶음,"['감자', '당근', '양파', '슬라이스햄', '참깨', '소금']","['#1 안녕! 여러분의 입맛저격수 마틸다에용 ! 빵야빵야~~ ', '#2 오늘은 자취생 필수반찬! 감자볶음을 만들어보자구요~~*자세한 재료는 재료기입란을 확인해주세요! ', '#3 먼저 햄과 당근, 양파와 당근은 채썰어주세요!', '#4 바로 요렇게!! ', '#5 기름을 넉넉히 두른 팬에 감자를 먼저 넣고 볶아 감자의 겉면이 노릇하게 되도록 볶아주세요! ', '#6 그리곤 다른 재료들을 넣고 볶아준 후 소금과 후춧가루로 간을 맞추어주면 끝!! ', '#7 와우~ 이렇게 간단할 수가 있나.. 여러분도 대한민국 자취생 여러분! 여러분도 도전해보세요!빵야!! ']"
감자전,"['간장', '고춧가루', '다진파', '참깨', '감자', '부침 가루', '튀김 가루']","['#1 간장 5큰술, 고춧가루 1큰술, 다진 파 1큰술, 참깨 1작은술을 넣고 양념장을 만들어준다.', '#2 감자 5개를 강판에 갈아준다.', '#3 갈아 놓은 감자에 부침가루 2큰술, 튀김가루 2큰술을 넣어 골고루 섞어준다.', '#4 팬에 기름을 두르고 부쳐준다.', '#5 노릇노릇 구워진 감자전을 양념장에 찍어 먹는다.']"
감자조림,"['소고기', '감자', '양파', '당근', '다시마', '가쓰오부시장국', '물엿', '물', '미니양배추', '계란', '설탕', '밥', '가쓰오부시', '간장']","['#1 내가 꼽은 심야식당 베스트: 세 가지 요리로 해먹는 한 끼 식사', '#2 오늘도 열심히 정신없는 하루를 보내고', '#3 집으로 향하는 발걸음, 그리고', '#4 오늘 하루 수고한 당신을 위한 따뜻한 한끼 식사', '#5 내가 꼽은 심야식당 베스트 1. 고기감자조림자작하게 국물이 있는 일본식 소고기감자조림은 마치 엄마가 만들어주는 된장찌개 같은 느낌이라고나 할까?', '#6 Step 1. 고기감자조림(니쿠자가) 요리다시마 한 조각, 감자2개, 양파1개, 소고기200g, 당근1개, 가쓰오부시 한 줌, 가쓰오부시 장국5큰술, 물5컵, 물엿2큰술(또는 설탕2큰술) *단맛을 줄이고 싶다면 1큰술로 바꿔주세요. (선택재료 : 미니양배추) (2인기준)', '#7 [육수만들기] 다시마1조각과 물5컵, 가쓰오부시장국5큰술, 가쓰오부시 한 줌을 넣고 20분 이상 끓여주세요~', '#8 양파와 미니 양배추는 먹기 좋은 크기로 썰어주고', '#9 동그랗게 썰어준 당근과 깍둑썰기한 감자는 모서리 부분을 동글동글하게 칼로 다듬어 줍니다.', '#10 [TIP]모서리가 둥글면 채소끼리 익으면서 부서지지 않고 원래의 모양을 유지할 수 있어요!^^', '#11 기름을 두른 냄비에 소고기를 먼저 볶아 준 다음, 표면이 어느정도 익으면 양파를 넣어 투명할 때까지 함께 볶아주세요!', '#12 그 다음 미니 양배추와 감자를 넣고 2~3분 정도 볶아줍니다.', '#13 마지막으로 당근을 넣고 2분간 볶아줍니다.', '#14 육수2컵과 물엿2큰술(또는 설탕2큰술)을 넣어주세요~[TIP]물엿을 사용하면 채소표면의 윤기를 더해 먹음직스러운 요리로 완성해줍니다. :)', '#15 살살 저어준 다음 중약불로 15분 이상 감자와 당근이 익을 때까지 냄비 뚜껑을 덮고 끓여주세요~', '#16 그릇에 완성된 소고기감자조림을 푸짐하게 담아주면~~~', '#17 삼삼한 맛에 달짝지근함, 소고기와 감자의 고소한 맛이 어우러지는 소고기감자조림완성!!!!!', '#18 내가 꼽은 심야식당 베스트 2. 계란말이 반찬에 계란말이 빠지면 섭섭하죠~', '#19 Step 2. 계란말이 만들기계란5개, 설탕 2큰술, 가쓰오부시 장국1티스푼 (2인 기준)', '#20 설탕2큰술, 가쓰오부시 장국1티스푼을 넣고 흰자와 노른자가 잘 섞이도록 풀어주세요.', '#21 체에 밭친 다음 계란물을 걸러주세요~[TIP]체에 한번 밭치면 부드러운 식감을 가진 계란말이를 만들 수 있어요!', '#22 기름을 두른 팬에 계란물 1/2을 부어주고 젓가락으로 살살 저어주세요.[TIP]계란 물을 저어주면 폭신하고 도톰한 계란말이가 되어요~^^', '#23 돌돌 말아주고~', '#24 나머지 계란 물을 부어 한 번 더 반복해주면 완성♡', '#25 먹기 좋은 크기로 자른 계란말이는 접시에 가지런히 담아주세요', '#26 달달하고 폭신하고 부들부들한 계란말이가 완성되었어요~', '#27 내가 꼽은 심야식당 베스트 3. 고양이 밥 (네코맘마)갓지은 따뜻한 밥위에 푸짐하게 가쓰오부시를 얹은 다음 간장을 뿌려먹는 초 간단 레시피 :D', '#28 Step 3. 고양이 밥 (네코맘마)재료 : 밥 한 공기, 가쓰오부시 한 줌, 간장1큰술 (1인기준)', '#29 따뜻한 밥 위에 가쓰오부시를 푸짐하게~ 그리고 간장을 뿌려서 마무리하면 맛있는 네코맘마가 완성되어요♡', '#30 신선한 재료로 든든하게 먹는 한끼 식사', '#31 따뜻한 밥 한끼 맛있게 잘 먹었어요♡', '#32 오랜만에 따뜻한 밥 한끼로 든든한 저녁밥상 어때요? 하 – 잘먹어따 :D', '#33 밥이 최고야♡ 맛있쪈!']"
통감자구이,"['감자', '베이컨 고기', '생크림', '플레인요거트', '레몬즙', '체다슬라이스치즈', '파슬리가루', '버터']","['#1 ', '#2 안녕 ! 여러분의 입맛저격수 마틸다에요 ! 빵야~ ', '#3 재료를 준비합니다 ! ', '#4 사워크림! 대형마트에 종종 있지만 필요할 땐 꼭 없졍..[TIP] 집에서도 손쉽게 만들어보아요! 생크림에 요거트 그리고 레몬즙을 넣어 잘 섞어주면 끝! 상온에 반나절 정도 두면 사워크림 완성입니다 : )', '#5 토핑으로 올릴 베이컨은 잘게 썰어주세요 ~ ', '#6 먼저 익는 시간을 단축시키기위해 감자를 끓는물에 삶아줄거에요!', '#7 속까지 포옥 삶아진 감자는 칼집을 굵고 깊이 내어준 후 ', '#8 알맞게 잘라낸 체다치즈와 홈메이드 사워크림, 그리고 베이컨을 올려주세요! 그리곤 180도로 예열된 오븐에서 10~15분 정도 충분히 구워내면 완성입니다! ', '#9 파슬리 솔솔 포근하고 촉촉한 통감자구이가 완성되었어요! ', '#10 레스토랑까지 멀리가지 말아요~홈메이드 통감자구이에 도전해보세요! 빵야~~~']"
감자명란전,"['삶은감자', '명란젓', '마요네즈', '스위트콘', '소금', '후추', '쪽파', '계란', '올리브유']","['#1 ', '#2 ', '#3 ', '#4 ', '#5 ', '#6 ', '#7 ', '#8 ']"
감자 & 베이컨 샐러드,"['감자', '베이컨 고기', '달걀삶은것', '허브', '파슬리', '소금', '올리브오일', '레드와인비니거(혹은사과식초)', '홀그레인머스타드', '쪽파']","['#1 제이미 올리버 좋아하시는 분들 많으시죠? 그 분의 레시피로 만든 감자 샐러드 입니다.', '#2 1. 감자를 씻어 한입 크기로 자른 후, 소금을 넣은 끓는 물에 넣어 15-17분간 삶아 건진다.2. 분량의 재료들로 샐러드 드레싱을 만든다.', '#3 3. 큰 볼에 삶은 감자, 베이컨, 달걀 그리고 드레싱을 한데 넣고 잘 섞어준 뒤, 준비한 허브를 살짝 뿌려 마무리 한다.']"
어묵감자조림,"['감자', '양파', '표고버섯', '곤약', '어묵작은거', '물', '간장', '맛술이나청주', '다진마늘', '후춧가루', '물엿', '설탕', '참기름', '통깨']","['#1 제 이웃분들중에는 아이가 어린분들이 꽤 되시는걸로 알고있는데아이들 반찬으로 무엇을 해주시나요?저희야 뭐든 잘먹으니 따로 신경쓸 필요는 없지만 간혹 반찬없거나 할때 애들이 좋아하는 반찬을 가끔 해준답니다.그 중 하나가 바로 어묵감자조림인데요.워낙에 어묵은 애들이 좋아하구 감자는 포실하게 조려져서 양념이 배어들면 참 맛나요~그래서 어제 조금 했는데 큭! 두끼에 다 없어져버렸네요~암튼 따뜻할때는 너무 좋아한다니깐요 ㅎㅎ그럼 만들어 볼까요?', '#2 [재료소개]감자2알(중간크기),양파1/2개,표고버섯4개,곤약1/2봉지(작은것),어묵작은거 한봉지(사각어묵말고요.)조림장-물한컵,간장5Ts,맛술이나 청주2Ts,다진마늘0.5Ts,후춧가루약간,물엿1.5Ts,설탕1Ts,참기름1Ts,통깨약간', '#3 [만드는법]감자는 껍질을 벗기고 찬물에 잠시 담가서 전분기를 빼줍니다.전분기가 빠진 감자를 먹기좋은 크기로 썰어주세요.(너무 크게 썰면 잘 안익어요.)', '#4 앙파는 큼직하게 썰고', '#5 곤약은 어묵전골에 넣듯이 꼬아도 되구 그냥 잘게 썰어 넣으셔도 무관해요.(생략가능)', '#6 표고버섯은 밑둥을 잘라서 손바닥으로 탁탁 털어줘서 먼지를 제거해주세요.', '#7 버섯은 칼집으로 모양내주시고요.', '#8 어묵은 한입크기로 썰어주세요.', '#9 조림장은 물을 빼고 나머지는 섞어서 준비해주세요.', '#10 이제 후라이팬에 기름을 살짝 두르고 감자를 볶다가 1/3정도 익으면 양파를 넣고 볶아주세요.', '#11 물을 자작하게 넣어주세요.(약한컵)', '#12 양파가 반투명해지면 곤약과 어묵을 넣고', '#13 이제 버섯을 넣고 양념장을 넣어주세요.', '#14 센불에서 졸이다가 반이상 졸아들면 중불로 줄이고 완전 졸이시면 안되구요.국물이 자작해질때까지 휘저으면서 졸여주세요.윤기가 어느정도 나기시작하면 다 된거랍니다.', '#15 포실한 감자와 쫄깃한 어묵이 환상궁합이네요~~애들도 참 잘먹는답니다.']"
에그 인 포테이토,"['감자', '계란', '소금']","['#1 안녕하세요, 해머거여러분? 캐나다에서 인사드리는 메이플대니얼이에요 :) 색다른 요리로 하루를 시작하기 좋은 주말, 오늘은 든든한 브런치 레시피를 가지고 왔어요. 감자속에 달걀을 채워 완성하는 간단하면서도 색다른 레시피랍니다. 같이 시작해볼까요?', '#2 [1인분기준 필요한재료]감자1개,달걀1개,소금1/2T,후추1/3t,물3T,파슬리가루1/2t[T = 큰술,테이블스푼 / t = 작은술,티스푼]', '#3 먼저 감자는 2등분해서 준비할게요. 달걀하나를 넣을 수 있는 크기가 좋기때문에 가능하면 큰 감자로 골라주시면 좋겠죠?', '#4 감자를 접시에 담고 물3큰술을 넣고 랩을 씌운다음 포크로 구멍을 슝슝~ 그리고 전자레인지에 5분 조리 해 주세요.', '#5 잘 익은 감자 속을 파 내고, 그리고 달걀을 채우고 소금후추로 간한다음 전자레인지에 1분 더 돌려주세요!', '#6 감자속 가득채운 촉촉한 달걀, 간단한 브런치로좋겠죠? 오늘도 맛있게 즐기세요!']"
스테이크와 매쉬드 포테이토,"['감자', '무염버터', '우유', '소금', '립아이스테이크', '버터', '소금', '후추', '다진양파', '밀가루', '소육수']","['#1 만들어서 마음껏 즐기자, 스테이크와 매쉬드 포테이토출처 - https://www.youtube.com/watch?v=sztGBPqGR-s', '#2 다이어트 한다고 풀만 먹었더니', '#3 고기가 씹고 싶다', '#4 특히 스테끼 ㅜㅜ', '#5 근데 레스토랑에선 너무 비싸잖아 ㅠㅠ', '#6 마음껏 먹고싶은데 ㅠㅠ휴 집에서 해먹는 수밖에', '#7 집에서 배부르게 즐겨요! 스테이크와 매쉬드 포테이토', '#8 2인분, 30분<재료>매쉬드 포테이토 재료감자 4개, 무염버터 3 숟가락, 우유 1/4컵, 소금 2 숟가락스테이크 재료립아이 스테이크 2개, 버터 1 숟가락, 소금 한꼬집, 후추 한꼬집스테이크 소스 재료다진 양파 ¼컵, 밀가루 1 숟가락, 육수 1컵', '#9 1. 먼저 감자를 삶아줄꺼야\x0b 냄비에 차가운 물을 넣어 준비해줘', '#10 2. 감자 껍질을 벗겨줘', '#11 3. 감자를 잘라 냄비에 넣어줘', '#12 4. 냄비에 소금 2 숟가락을 넣어줘', '#13 5. 감자를 강한 불에 올려 20~25분, 감자가 부드러워질 때까지 삶아줘', '#14 6. 감자가 삶아지는 동안 스테이크를 만들자\x0b스테이크 양면에 소금과 후추를 뿌려 간해줘', '#15 7. 스테이크를 팬에 올리기 전, 프라이 팬을 강한 불에 올려 뜨겁게 달궈줘', '#16 8. 스테이크를 올려 뒤집지 않고 2~3분 정도 익혀줘', '#17 9. 스테이크를 뒤집어 버터 1 숟가락을 넣고 녹여줘\x0b 그리고 스테이크가 익을 동안, 2~3분 동안 계속 버터를 끼얹어줘', '#18 10. 스테이크를 팬에서 꺼내 호일로 살짝 덮어 10분간 실온 보관해줘', '#19 11. 그 동안 스테이크 소스를 만들거야\x0b스테이크를 익힌 팬에 다진 양파와 밀가루를 넣어 살짝 볶아줘', '#20 12. 거기에 육수와 후추를 넣고 소스가 걸쭉해질 때까지 끓여줘', '#21 13. 이쯤 감자가 포슬포슬 잘 익혀졌을꺼야\x0b 감자의 물을 빼줘', '#22 14. 감자를 뜨거운 냄비에 도로 넣어주고 우유, 버터를 넣고 거품기로 잘 섞어줘', '#23 진짜 팔의 영혼이 빠져나갈 것처럼 저어줘\x0b 감자 덩어리가 남아있지 않도록!', '#24 이제 그릇에 담아주기만 하면 완성이야!', '#25 레스토랑에서 가격 좀 나갈 것 같은 비쥬얼', '#26 한입만 먹어도 고개가 끄덕끄덕', '#27 이제 지갑 걱정없이 스테이크 즐길 수 있다구!!', '#28 스테이크와 매쉬드 포테이토 레시피1. 냄비에 물을 넣어주세요.2. 감자 껍질을 벗겨주세요.3. 감자를 잘게 자른 후 냄비에 넣어주세요.4. 냄비에 소금을 넣어주세요.5. 감자를 20~25분간 삶아주세요.6. 스테이크 양 면에 소금과 후추로 간해주세요.7. 프라이팬을 강한 불에 올려 달궈주세요.8. 스테이크를 올려 2~3분 익혀주세요.9. 스테이크를 뒤집어 버터 1 숟가락을 넣고 녹여주세요.10. 스테이크가 익을 때까지 2~3분간 버터를 끼얹어주세요.11. 스테이크를 꺼내 호일로 덮어 10분간 실온 보관해주세요.12. 스테이크를 익힌 팬에 다진 양파와 밀가루를 넣고 볶아주세요.13. 육수와 후추를 넣고 소스가 걸쭉해질 때까지 끓여주세요.14. 삶은 감자에 우유, 버터를 넣고 거품기로 잘 저어주세요.15. 그릇에 담아주시면 완성입니다.']"
