recipe_title,recipe_source,recipe_step
,,
키스틱 식빵 핫도그,"['식빵', '키스틱크림치즈롤', '계란', '빵가루']","['#1 오늘은 완전 간단한 재료랑 간단한 방법으로 명랑핫도그 버금가는 키스틱 식빵 핫도그를 만들어보았다.', '#2 안에 넣을 소세지로는 키스틱 크림치즈롤을 골랐다. 이번에 출시된 키스틱 크림치즈롤은 기존 크기 뿐만 아니라 미니 소세지도 있다. 큰 거 작은 거 둘 다 넣어볼거임', '#3 키스틱 크림치즈롤은 흰 생선살로 만든 연육 소세지 안에 크림치즈가 통째로 들어간게 특징이다. 길다란 크림치즈를 연육이 감싸고 있어서 핫도그 같기도 하다.핫도그 안에 핫도그 (?)', '#4 먼저 식빵 테두리를 잘라주고 납작하게 밀어준다.우유 식빵이 부드러워서 최고임', '#5 식빵에 미니 소세지와 소세지를 통째로 넣고 돌돌 말아준다. 이 때 큰 소세지가 빼꼼 튀어나오는게 매력이다.아 식빵 끝에 계란 물을 살짝 발라주면 고정하기 쉬움', '#6 빵가루와 계란물을 묻혀주고', '#7 에어후라이기에 가지런히 눕혀주면 준비 끝', '#8 200도에 맞춰주고 10분간 얌전히 기다렸다.5분 돌리고 한번 뒤집은 다음 또 5분 돌려주면 노릇노릇 잘 탄다 !', '#9 뽀잉 크림치즈 ㅎㅇ찍어먹을 소스는 취향껏 준비하면 되는데 개인적으로 돈까스 소스가 최고였다.', '#10 치즈랑 어육 소세지 조합은 생소했는데 느끼하지도 않고 진짜 맛있었다. 특히 빼꼼 나온 소세지가 에어후라이기에 들어갔다 나오니까 처음 먹어보는 식감에 놀람친구들 불러놓고 자랑하고 싶을 정도로 맛있다.']"
치즈폭포 계란말이,"['계란', '스트링치즈', '체다치즈', '대파', '소금']","['#1 1. 먼저 파를 잘게 다져주세요.  ', '#2 2. 볼에 계란 4개를 깨트려 넣고, 다져놓은 파와 소금 1/2 작은술을 넣어서 섞어주세요.', '#3 3. 스트링 치즈와 체다치즈를 포장을 벗겨 준비해 주세요. ', '#4 4. 달궈진 팬에 기름을 두르고, 준비해 놓은 계란물 1/3을 먼저 부어주세요.  ', '#5 5. 어느정도 익으면, 한쪽에 치즈를 올리고 반으로 접어주세요.', '#6 6.  반대쪽으로 밀어놓은 후, 계란물을 조금씩 더 부어주세요. 그리고 다시 말아주세요. ', '#7 7. 식용유와 계란물을 붓고 뒤집는 것을 5~6회 가량 반복합니다.', '#8 8. 마지막으로 모양을 잡아주고 그릇에 담으면 완성!']"
초간단 순두부계란국,"['순두부', '계란', '쪽파', '국간장', '소금', '다진마늘', '해물다시팩', '진간장', '고춧가루', '설탕', '다진마늘', '깨', '청양고추']","['#1 쪽파를 송송 썰어주세요. 청양고추도 잘게 다져주세요.', '#2 간장 반컵+설탕 1작은술+고춧가루 1큰술+다진마늘 1/2큰술 넣어주세요. 쪽파와 깨도 넣고 양념장을 만들어 주세요.', '#3 계란 2알을 볼에 깨뜨려서 풀어주세요.', '#4 물 800ml에 해물다시팩을 넣고 끓여주세요.', '#5 육수가 우러나면 다시팩을 건져내고, 국간장 1큰술, 소금 1/2작은술, 다진마늘 1큰술을 넣어주세요.', '#6 국물이 끓어오르면 순두부를 넣고 적당한 크기로 쪼개 주세요. 풀어둔 계란은 채에 걸러 넣어주세요.', '#7 쪽파를 듬뿍 넣어 마무리 해주시면 완성!']"
푸딩처럼 부드러운 계란찜,"['계란', '대파', '새우', '가쓰오부시', '소금', '맛술']","['#1 1. 물 200ml에 가쓰오부시 한 줌을 넣고 1시간 정도 우려주세요.', '#2 2. 고명으로 올릴 파를 송송 썰어주세요. ', '#3 3. 계란 2개를 깨뜨린 후 잘 풀어주세요. 소금, 맛술, 설탕을 넣어주세요.  ', '#4 4. 우려낸 가쓰오부시 육수를 채에 걸러 넣어주세요.', '#5 5. 잘 썩은 계란물을 채에 한 번 더 걸러주시고, 그릇에 부어주세요. 거품은 제거해 주세요.', '#6 6. 냄비 뚜껑에 맺힌 물방울이 들어가지 않도록 랩을 씌워주세요. ', '#7 7. 물을 1/3정도 채운 냄비에 찜판을 넣고 계란물이 담긴 그릇을 올려주세요. 김이 오를 때까지 센불에서 2분, 약불로 8~10분 익혀주세요.', '#8 8. 계란이 쪄지는 동안 고명으로 올릴 새우를 데쳐주세요.', '#9 9. 계란이 다 쪄지면 고명을 올리고 1분 정도만 더 쪄주면 완성!']"
버터계란밥,"['즉석밥', '계란', '진간장', '소금', '버터무염']","['#1 재료준비', '#2 그릇에 계란 2알과 소금을 넣고 잘 풀어주세요. ', '#3 즉석밥을 전자렌지에 데워주세요. 데워진 밥을 그릇에 담고 진간장+버터를 넣어주세요.', '#4 달궈진 후라이팬에 식용유를 두르고, 계란을 부어주세요. 저어가며 익혀주세요.', '#5 밥 위에 계란을 올려주세요. ', '#6 버터를 한조각 올려주세요.', '#7 완성!']"
만두 계란탕,"['고기만두', '달걀', '대파', '다시마', '국물용멸치', '전분가루', '국간장', '후추']","['#1 안녕하세요! 푸드텔러입니다 :)이번에는 따뜻하고 속까지 든든한 만두 계란탕을 만들어 볼게요.', '#2 [1인 기준 재료] 고기만두 6개, 달걀 1개, 대파 3g, 다시마 10cm, 국물용 멸치 5마리, 전분가루 1큰술, 국간장 1큰술, 후추 1/6작은술', '#3 달걀은 풀고, 대파는 송송썰고, 전분은 물과 동량으로 풀어서 준비해주세요.', '#4 냄비에 물 3컵을 붓고 멸치와 다시마를 넣고 육수를 만든 후 만두를 먼저 넣고 익혀주세요.', '#5 전분물을 잘 풀어 넣은 후 재빠르게 섞어줘야 전분 덩어리가 지지 않고 탕의 농도를 잘 만들어 줄 수 있어요.', '#6 달걀물은 줄알치기라고 하여 둥글게 돌려가며 넣고 숟가락을 이용해 한방향으로 서너번만 저어주면 끝!', '#7 맑은 국물을 위해 떠오르는 거품은 제거해주면 더욱 좋겠죠?', '#8 중국식 달걀탕을 생각하시면 이해가 쉬우실거에요. 야식으로, 술안주로도 좋은 만두 계란탕^^']"
계란찜,"['계란', '소금', '피망', '물']","['#1 계란 5개, 소금 1큰술을 풀고 작게 사각썰은 피망을 넣는다.', '#2 뚝배기에 물을 넣고 끓기 시작하면 계란물을 넣은 후 몽글몽글 할 때까지 저어준다.', '#3 계란이 몽글몽글해지면 깊은 그릇을 뚜껑삼아 덮어준 뒤 약불로 1분 끓인다.']"
계란말이,"['계란', '체다치즈', '스트링치즈', '파', '소금']","['#1 -집밥한그릇-구독&동영상링크♡ http://bit.ly/2QnUGbz', '#2 계란 4개체다 치즈 1장스트링치즈 3개파 1/4개소금 1/2t', '#3 먼저 파를 얇게 썰어줄게요', '#4 그 다음 잘게 다져주세요', '#5 적당한 크기의 볼에 계란 4개를 깨주세요', '#6 다져놓은 파와 소금 1/2 작은 술도 넣어주세요', '#7 재료들이 잘 섞이도록 젓가락으로 충분히 저어주세요', '#8 치즈도 포장을 벗겨 준비해 놓을게요', '#9 준비해 놓은 계란 물의 1/3 정도를 부어주세요', '#10 계란말이를 할 때는 사각 프라이팬을 사용하시는 것이 훨씬 좋아요 :)', '#11 계란의 표면이 아직 촉촉하지만 흘러내리지 않을 때쯤 치즈를 올려주세요', '#12 치즈는 계란의 중앙을 기준으로 한 쪽 면에만 놓아주세요', '#13 이제 계란을 반으로 접어줄게요', '#14 이제 반복 작업만 남았어요', '#15 계란을 반대쪽으로 밀어놓은 후, 식용유를 약간만 붓고 계란 물을 조금씩 부어주세요', '#16 새로 부은 계란 물이 이전에 부친 것과 연결될 수 있도록 계란 아래쪽으로 계란물을 흘려 보내주세요', '#17 이렇게 식용유와 계란 물을 붓고 뒤집는 것을 5~6회가량 반복합니다', '#18 뒤집개만으로는 어려울 수 있으니 젓가락이나 다른 도구를 함께 사용하시는 것이 좋아요', '#19 뒤집개를 이용해 옆면을 눌러 모양을 잡으며 마무리합니다', '#20 치즈 폭포 계란말이 완성!:)', '#21 정말 치즈가 폭포처럼 흘러내리고 있어요!!', '#22 정말 치즈가 폭포처럼 흘러내리고 있어요!!', '#23 -집밥한그릇-구독&동영상링크♡ http://bit.ly/2QnUGbz']"
맛간장,"['양파', '청양고추', '진간장', '식초', '설탕', '물']","['#1 맛간장구독링크♡ http://bit.ly/2QnUGbz맛간장 동영상링크: https://youtu.be/Va0m7xuIe10', '#2 재료를 준비 해주세요.', '#3 양파를 6등분으로 잘라주세요.', '#4 고추도 잘게 썰어주세요.', '#5 간장 2큰술을 넣고', '#6 식초 1 + 1/2 큰술을 넣어주세요.', '#7 설탕 1큰술을 마저 넣고', '#8 잘 섞어 주세요.', '#9 물 1큰술 정도를 넣어주세요.', '#10 썰어 놓은 양파를 넣어주세요.', '#11 마무리로 고추도 예쁘게 올릴게요.', '#12 맛있는 맛간장 완성!', '#13 오늘 하루도 건강한 집밥 챙겨드세요!-집밥한그릇-구독링크♡ http://bit.ly/2QnUGbz맛간장 동영상링크: https://youtu.be/Va0m7xuIe10']"
두부계란전,"['두부', '계란', '다진마늘', '소금']","['#1 두부계란전동영상링크♥ https://youtu.be/cY3HfHs-g7k', '#2 오늘의 한그릇#1_두부계란전', '#3 재료', '#4 키친타올로 두부의 물기를 제거해 주세요.', '#5 칼등으로 두부를 으깨주세요.', '#6 으깬 두부에 계란 2개를 깨드리고,', '#7 다진마늘 1큰술& 소금 4~5꼬집을 넣어주세요.', '#8 재료들을 잘 섞어주세요.^^', '#9 후라이팬에 식용유를 두르고', '#10 적당한 크기로 부쳐주세요.', '#11 불 세기는 중불로 해주세요.', '#12 불 세기는 중불로 해주세요.', '#13 맛있는 두부계란전 완성! :)', '#14 오늘 하루도 건강한 집밥 챙겨드세요!구독링크♡ http://bit.ly/2QnUGbz동영상링크♥ https://youtu.be/cY3HfHs-g7k']"
