recipe_title,recipe_source,recipe_step
,,
초간단 LA갈비,"['LA갈비', '배', '사과', '마늘', '생강', '진간장', '설탕', '물엿', '맛술', '참기름', '통후추가루']","['#1 1. 먼저 갈비에 물을 부어 핏물을 빼주세요. 1시간 정도 두시면 되요.', '#2 2. 핏물이 빠지는 동안 양념을 만들어 주세요. 배 + 사과 + 생강+ 마늘 12알 + 물120ml를 넣고 믹서기에 넣고 갈아주세요.', '#3 3. 다 갈려진 재료들은 체나 면보에 걸러서 짜주세요.', '#4 4. 진강장 1컵 + 맛술 1컵 +  설탕 4큰술 + 물엿 4큰술 + 참기름 2큰술 + 통후추가루 1작은술을 넣어주세요.', '#5 5. 핏물을 뺀 갈비는 흐르는 물에 씻어주세요. 다 씻은 고기는 키친타올로 물기를 제거한 후 만들어 둔 양념을 부어주세요. ', '#6 6. LA갈비는 하루정도 숙성시켰을 때가 가장 맛있다고 해요. ', '#7 7. 숙성시킨 갈비를 구워주세요. 중불에서 양념을 자작하게 부어 구워주세요. ', '#8 ']"
단짠단짠 궁중떡볶이,"['가래떡', '소고기', '당근', '양파', '대파', '표고버섯', '파프리카', '참기름', '굴소스', '간장', '올리고당', '맛술', '다진마늘']","['#1 1.가래떡을 6cm길이로 4등분 해줍니다.(총320g). 칼에 참기름을 바르면 떡이 안 달라 붙습니다.', '#2 2.표고버섯, 파프리카, 양파를 썰어줍니다. 대파, 당근을 썰어줍니다.', '#3 3.떡이 단단할 경우 살짝 데쳐 준 후 기름장 양념 (간장 반스푼, 참기름 반스푼)을 넣고 버무립니다.', '#4 4.키친타월로 소고기 핏물 제거를 해줍니다.', '#5 5.소고기에 양념 (간장 1스푼, 맛술 1스푼, 올리고당 1스푼, 다진마늘1/3스푼,참기름1스푼, 후춧가루)을 해서 버무려줍니다.', '#6 6.떡볶이 양념을 만들어 줍니다.(간장1스푼, 올리고당1스푼, 다진마늘1/2스푼, 굴소스1/2스푼)', '#7 7.달군 팬에 식용유 두르고 소고기 먼저 볶아 줍니다. 어느정도 익으면 떡과 야채를 넣고 볶아 줍니다.', '#8 8.떡볶이 양념장을 넣어 간을 맞춥니다.(간을 보고 더 넣으셔도 됩니다.) 탈 것 같으면 물을 넣어주세요.', '#9 9.참기름 살짝 두르고 통깨를 뿌리면 완성!']"
"무꿀청, 무꿀차","['무', '꿀']","['#1 ', '#2 ', '#3 ', '#4 ', '#5 ']"
치즈폭포 계란말이,"['계란', '스트링치즈', '체다치즈', '대파', '소금']","['#1 1. 먼저 파를 잘게 다져주세요.  ', '#2 2. 볼에 계란 4개를 깨트려 넣고, 다져놓은 파와 소금 1/2 작은술을 넣어서 섞어주세요.', '#3 3. 스트링 치즈와 체다치즈를 포장을 벗겨 준비해 주세요. ', '#4 4. 달궈진 팬에 기름을 두르고, 준비해 놓은 계란물 1/3을 먼저 부어주세요.  ', '#5 5. 어느정도 익으면, 한쪽에 치즈를 올리고 반으로 접어주세요.', '#6 6.  반대쪽으로 밀어놓은 후, 계란물을 조금씩 더 부어주세요. 그리고 다시 말아주세요. ', '#7 7. 식용유와 계란물을 붓고 뒤집는 것을 5~6회 가량 반복합니다.', '#8 8. 마지막으로 모양을 잡아주고 그릇에 담으면 완성!']"
쫄면,"['콩나물', '양파', '적채(양배추)', '깻잎', '당근', '오이', '쫄면', '계란', '참깨', '고추장', '식초', '간장', '매실액', '고춧가루']","['#1 1.우선 재료손질을 먼저 시작합니다. 양파를 채 썰어줍니다. 오이 시작과 끝 부분을 제거 한 뒤 어슷썰기 한 후 채 썰어줍니다. 당근 한쪽 표면을 깍아 도마에 고정 한 뒤, 오이와 같은 방법으로 썰어 줍니다.', '#2 2. 적채는 심지를 제거 후 결 그대로 썰어 줍니다. 깻잎은 돌돌말아 썰어 줍니다.', '#3 3. 쫄면 소스를 만들어줍니다. 고추장 2스푼+식초 1스푼+간장 1스푼+매실액 2스푼+고춧가루 1스푼+참깨 2g', '#4 4. 물에 소금 한스푼을 넣고 콩나물을 넣습니다. 뚜껑을 닫고 3분간 끓여 줍니다. 콩나물을 아삭하게 만들기 위해 차가운 물로 헹궈 줍니다. ', '#5 5. 물에 소금 한 스푼을 넣어준 뒤 계란 2개를 넣고 삶아 줍니다. 반숙은 7분 완숙은 10~12분정도 삶으면 적당합니다.', '#6 6. 냄새를 잡기 위해 식초를 넣고 4~5분간 쫄면을 삶아 줍니다. 쫄면이 안 붙도록 계속 풀어 줍니다.  삶은 쫄면은 찬물에 헹궈 준뒤 물기를 빼서 담아둡니다.', '#7 7. 그릇에 쫄면 - 콩나물 - 당근 - 오이 - 양파 - 적채 - 깻잎 계란을 올려 놓습니다. 쫄면 소스 - 깨 - 참기름을 적당히 뿌려주면 만찬쫄면 완성~']"
딸기 브루스케타 & 샐러드,"['딸기', '어린잎채소', '블루베리', '스트링치즈', '바게트빵', '크림치즈', '올리브유', '꿀', '소금', '다진마늘', '귤청', '레몬즙', '후추가루']","['#1 먼저 딸기를 먹기 좋은 크기로 썰어주세요. 스트링 치즈도 썰어주세요. ', '#2 레몬즙2큰술+귤청 2큰술+소금 1/2작은술+올리브유1큰술+다진마늘 1/2큰술+통후추가루 약간을 넣어 샐러드 드레싱을 만들어 주세요.', '#3 어린잎 채소를 접시 위에 플레이팅하고, 딸기, 블루베리, 치즈를 올려주세요. 드레싱을 올려주면 딸기 샐러드는 완성!', '#4 딸기 브루스케타에 쓸 딸기를 썰어주세요.', '#5 팬에 올리브오일을 두르고, 중불에서 빵을 구워주세요.', '#6 구워진 빵에 크림치즈를 발라주세요. ', '#7 크림치즈를 바른 빵위에 딸기와 블루베리를 올려주세요. ', '#8 그 위에 꿀을 살짝 올려주세요. 그 위에 어린잎 채소를 얹어 장식하면 완성!']"
에어프라이어로 만드는 고구마 맛탕,"['고구마', '식용유', '올리고당', '설탕']","['#1 고구마 껍질을 벗기고, 한입크기로 썰어준 뒤 물에 20분정도 담궈 전분기 빼줍니다.', '#2 온도를 190도에서 5분간 예열해 줍니다.', '#3 고구마를 건져 키친타올로 남은 물기를 닦아줍니다.', '#4 믹싱볼에 고구마를 넣고 식용유1스푼을 넣어 골고루 섞어 줍니다.', '#5 190도에서 15분 구워줍니다. 한번 뒤집은 후 190도에서 5~10분 더 구워줍니다.', '#6 팬에 설탕2스푼, 올리고당3스푼, 식용유 반스푼을 넣어 줍니다. 설탕이 타지않게  팬을 돌려주면서 쫄여 줍니다.', '#7 소스가 끓으면 고구마를 넣고 검은 깨와 함께 골고루 버무려 줍니다.', '#8 그릇에 담아주면 달콤 바삭 촉촉 고구마 맛탕 완성!']"
간장 조림닭,"['닭(볶음용)', '통마늘', '페페론치노', '청양고추', '부추', '진간장', '생수', '춘장', '물엿', '맛술', '흑설탕', '참기름', '통깨']","['#1 먼저 닭을 깨끗이 씻어 물기를 제거해줍니다. 청양고추와 부추를 썰어주세요.', '#2 팬에 기름을 두르고, 닭을 껍질있는 쪽부터 구워줍니다. 뚜껑을 덮고 10분간 중불에서 익혀줍니다.', '#3 닭을 뒤집어서 3분간 구워주세요.', '#4 통마늘 10알을 넣고 진간장 4큰술+물 5큰술+물엿+맛술 2큰술을 넣고 조려주세요. ', '#5 흑설탕 1큰술+춘장 1/2큰술 넣고 센불로 조려주세요. ', '#6 페페론치노 4개를 반잘라서 넣어주세요. 청양고추 4개도 넣어주세요. 중불에서 골고루 섞어주세요.', '#7 부추+참기름 1큰술+ 통깨로 마무리하면 완성!']"
로스트 치킨 스테이크,"['닭', '간장절임마늘', '할라피뇨', '발사믹크림', '칠리소스', '감자', '소금', '후추']","['#1 1. 닭 손질하기: 닭 꼬리를 자르고 주변 지방을 제거해 줍니다. 닭 날개 부분을 보면 첫번째 마디에 칼집을 넣어 잘라줍니다. 가운데 기점으로 사선으로 칼로 작업을 하여 분리해 줍니다. 분리가 된 뼈를 살살 긁어가면서 떼어줍니다. 닭다리를 기점으로 무릎 연골부분을 끊어서 분리해 줍니다.', '#2 2. 손질한 닭을 펼쳐 앞 뒤로 소금, 후추 간을 해줍니다. ', '#3 3. 에어프라이어에 종이호일을 깔고 180도 10분으로 설정하여 구어 줍니다.', '#4 4. 절인 알마늘 2, 할리피뇨1 비율로 다져 줍니다.', '#5 5. 다진재료에 절인 알마늘 간장물을 섞어주고, 칠리 소스도 준비 합니다.', '#6 6. 치킨 색과 익힘을 확인 후 한번 더 돌려 줍니다. 170도 15분 설정.', '#7 7. 물을 담은 냄비에 소금, 감자를 넣고 15분간 삶아줍니다.', '#8 8. 치킨을 한번 더 확인 합니다. 삶은 감자는 식힌 뒤 반달모양으로 잘라줍니다.', '#9 9. 그릇에 로스트 치킨과 감자를 셋팅하고, 발사믹 크림과 소스를 셋팅 합니다.']"
소고기 장조림,"['소고기양지', '메추리알', '대파', '양파', '통마늘', '생강', '꽈리고추', '육수', '진간장', '설탕', '매실액', '물엿', '다시마', '월계수잎', '통후추', '소주', '참기름']","['#1 끓는 물에 소주 1/2컵을 넣고, 조각낸 소고기 양지를 10분간 삶아줍니다. 10분 후 건져서 찬물에 헹궈줍니다.', '#2 육수를 내기위해 면포에 대파 2대+양파 1개+통마늘 20알+생강 30g+다시마 1장+월계수잎 3장+통후추를 넣어줍니다.', '#3 끓는 물 4L에 면포와 소고리를 넣습니다. 뚜껑을 덮고 30분 끓여줍니다.', '#4 30분 후 면포를 건져내고 진간장 2.5컵을 넣습니다. 설탕 5큰술+매실액 5큰술+물엿 1/2컵을 넣고 뚜껑을 덮고 20분 끓여줍니다.', '#5 20분 끓인 후 꽈리고추 200g 메추리알 30알을 넣고 10분 더 끓여줍니다.', '#6 참기름 2큰술로 마무리하면 완성!']"
